ftitle,fsubtitle,btitle,bsubtitle,audio
議員,(ぎいん),"member of the Diet, congress or parliament",,[sound:議員.wav]
"member of the Diet, congress or parliament",,議員,(ぎいん),[sound:議員.wav]
記憶,(きおく),"memory,recollection,remembrance",,[sound:記憶.wav]
"memory,recollection,remembrance",,記憶,(きおく),[sound:記憶.wav]
気温,(きおん),temperature,,[sound:気温.wav]
temperature,,気温,(きおん),[sound:気温.wav]
機械,(きかい),"machine,mechanism",,[sound:機械.wav]
"machine,mechanism",,機械,(きかい),[sound:機械.wav]
議会,(ぎかい),"Diet,congress,parliament",,[sound:議会.wav]
"Diet,congress,parliament",,議会,(ぎかい),[sound:議会.wav]
期間,(きかん),"period,term",,[sound:期間.wav]
"period,term",,期間,(きかん),[sound:期間.wav]
機関,(きかん),"organ,mechanism,facility,engine",,[sound:機関.wav]
"organ,mechanism,facility,engine",,機関,(きかん),[sound:機関.wav]
企業,(きぎょう),"enterprise,undertaking",,[sound:企業.wav]
"enterprise,undertaking",,企業,(きぎょう),[sound:企業.wav]
効く,(きく),to be effective,,[sound:効く.wav]
to be effective,,効く,(きく),[sound:効く.wav]
機嫌,(きげん),"humour,temper,mood",,[sound:機嫌.wav]
"humour,temper,mood",,機嫌,(きげん),[sound:機嫌.wav]
気候,(きこう),climate,,[sound:気候.wav]
climate,,気候,(きこう),[sound:気候.wav]
岸,(きし),"bank,coast,shore",,[sound:岸.wav]
"bank,coast,shore",,岸,(きし),[sound:岸.wav]
生地,(きじ),birthplace,,[sound:生地.wav]
birthplace,,生地,(きじ),[sound:生地.wav]
記事,(きじ),"article,news story,report,account",,[sound:記事.wav]
"article,news story,report,account",,記事,(きじ),[sound:記事.wav]
技師,(ぎし),"engineer,technician",,[sound:技師.wav]
"engineer,technician",,技師,(ぎし),[sound:技師.wav]
記者,(きしゃ),reporter,,[sound:記者.wav]
reporter,,記者,(きしゃ),[sound:記者.wav]
傷,(きず),"wound,injury,hurt,cut",,[sound:傷.wav]
"wound,injury,hurt,cut",,傷,(きず),[sound:傷.wav]
期待,(きたい),"expectation,anticipation,hope",,[sound:期待.wav]
"expectation,anticipation,hope",,期待,(きたい),[sound:期待.wav]
帰宅,(きたく),returning home,,[sound:帰宅.wav]
returning home,,帰宅,(きたく),[sound:帰宅.wav]
貴重,(きちょう),"precious,valuable",,[sound:貴重.wav]
"precious,valuable",,貴重,(きちょう),[sound:貴重.wav]
議長,(ぎちょう),chairman,,[sound:議長.wav]
chairman,,議長,(ぎちょう),[sound:議長.wav]
きちんと,,"precisely,accurately",,[sound:きちんと.wav]
"precisely,accurately",,きちんと,,[sound:きちんと.wav]
きつい,,"tight,close,intense",,[sound:きつい.wav]
"tight,close,intense",,きつい,,[sound:きつい.wav]
気付く,(きづく),"to notice,to recognize,to become aware of",,[sound:気付く.wav]
"to notice,to recognize,to become aware of",,気付く,(きづく),[sound:気付く.wav]
気に入る,(きにいる),"to be pleased with,to suit",,[sound:気に入る.wav]
"to be pleased with,to suit",,気に入る,(きにいる),[sound:気に入る.wav]
記入,(きにゅう),"entry,filling in of forms",,[sound:記入.wav]
"entry,filling in of forms",,記入,(きにゅう),[sound:記入.wav]
記念,(きねん),"commemoration,memory",,[sound:記念.wav]
"commemoration,memory",,記念,(きねん),[sound:記念.wav]
機能,(きのう),"function,faculty",,[sound:機能.wav]
"function,faculty",,機能,(きのう),[sound:機能.wav]
気の毒,(きのどく),"pitiful,a pity",,[sound:気の毒.wav]
"pitiful,a pity",,気の毒,(きのどく),[sound:気の毒.wav]
寄付,(きふ),"contribution,donation",,[sound:寄付.wav]
"contribution,donation",,寄付,(きふ),[sound:寄付.wav]
希望,(きぼう),"hope,wish,aspiration",,[sound:希望.wav]
"hope,wish,aspiration",,希望,(きぼう),[sound:希望.wav]
基本,(きほん),"foundation,basis,standard",,[sound:基本.wav]
"foundation,basis,standard",,基本,(きほん),[sound:基本.wav]
決まり,(きまり),"settlement,conclusion,regulation,rule",,[sound:決まり.wav]
"settlement,conclusion,regulation,rule",,決まり,(きまり),[sound:決まり.wav]
気味,(きみ),"-like,-looking,-looked",,[sound:気味.wav]
"-like,-looking,-looked",,気味,(きみ),[sound:気味.wav]
奇妙,(きみょう),"strange,queer,curious",,[sound:奇妙.wav]
"strange,queer,curious",,奇妙,(きみょう),[sound:奇妙.wav]
義務,(ぎむ),"duty,obligation,responsibility",,[sound:義務.wav]
"duty,obligation,responsibility",,義務,(ぎむ),[sound:義務.wav]
疑問,(ぎもん),"question,problem,doubt,guess",,[sound:疑問.wav]
"question,problem,doubt,guess",,疑問,(ぎもん),[sound:疑問.wav]
逆,(ぎゃく),"reverse,opposite",,[sound:逆.wav]
"reverse,opposite",,逆,(ぎゃく),[sound:逆.wav]
キャプテン,,captain,,[sound:キャプテン.wav]
captain,,キャプテン,,[sound:キャプテン.wav]
キャンプ,,camp,,[sound:キャンプ.wav]
camp,,キャンプ,,[sound:キャンプ.wav]
旧,(きゅう),ex-,,[sound:旧.wav]
ex-,,旧,(きゅう),[sound:旧.wav]
級,(きゅう),"class, grade, rank,school class, grade",,[sound:級.wav]
"class, grade, rank,school class, grade",,級,(きゅう),[sound:級.wav]
球,(きゅう),"globe,sphere,ball",,[sound:球.wav]
"globe,sphere,ball",,球,(きゅう),[sound:球.wav]
休暇,(きゅうか),"holiday,day off,furlough",,[sound:休暇.wav]
"holiday,day off,furlough",,休暇,(きゅうか),[sound:休暇.wav]
休憩,(きゅうけい),"rest,break,recess,intermission",,[sound:休憩.wav]
"rest,break,recess,intermission",,休憩,(きゅうけい),[sound:休憩.wav]
急激,(きゅうげき),"sudden,precipitous,radical",,[sound:急激.wav]
"sudden,precipitous,radical",,急激,(きゅうげき),[sound:急激.wav]
吸収,(きゅうしゅう),"absorption,suction,attraction",,[sound:吸収.wav]
"absorption,suction,attraction",,吸収,(きゅうしゅう),[sound:吸収.wav]
救助,(きゅうじょ),"relief,aid,rescue",,[sound:救助.wav]
"relief,aid,rescue",,救助,(きゅうじょ),[sound:救助.wav]
急速,(きゅうそく),rapid (e.g. progress),,[sound:急速.wav]
rapid (e.g. progress),,急速,(きゅうそく),[sound:急速.wav]
急に,(きゅうに),,,[sound:急に.wav]
,,急に,(きゅうに),[sound:急に.wav]
給料,(きゅうりょう),"salary,wages",,[sound:給料.wav]
"salary,wages",,給料,(きゅうりょう),[sound:給料.wav]
器用,(きよう),"skillful,handy",,[sound:器用.wav]
"skillful,handy",,器用,(きよう),[sound:器用.wav]
教科書,(きょうかしょ),text book,,[sound:教科書.wav]
text book,,教科書,(きょうかしょ),[sound:教科書.wav]
競技,(きょうぎ),"game,match,contest",,[sound:競技.wav]
"game,match,contest",,競技,(きょうぎ),[sound:競技.wav]
行儀,(ぎょうぎ),manners,,[sound:行儀.wav]
manners,,行儀,(ぎょうぎ),[sound:行儀.wav]
供給,(きょうきゅう),"supply,provision",,[sound:供給.wav]
"supply,provision",,供給,(きょうきゅう),[sound:供給.wav]
教師,(きょうし),teacher (classroom),,[sound:教師.wav]
teacher (classroom),,教師,(きょうし),[sound:教師.wav]
教授,(きょうじゅ),"teaching,instruction,professor",,[sound:教授.wav]
"teaching,instruction,professor",,教授,(きょうじゅ),[sound:教授.wav]
強調,(きょうちょう),"emphasis,stress,stressed point",,[sound:強調.wav]
"emphasis,stress,stressed point",,強調,(きょうちょう),[sound:強調.wav]
共通,(きょうつう),"commonness,community",,[sound:共通.wav]
"commonness,community",,共通,(きょうつう),[sound:共通.wav]
共同,(きょうどう),"cooperation,association,collaboration,joint",,[sound:共同.wav]
"cooperation,association,collaboration,joint",,共同,(きょうどう),[sound:共同.wav]
恐怖,(きょうふ),"be afraid,dread,dismay,terror",,[sound:恐怖.wav]
"be afraid,dread,dismay,terror",,恐怖,(きょうふ),[sound:恐怖.wav]
協力,(きょうりょく),"cooperation,collaboration",,[sound:協力.wav]
"cooperation,collaboration",,協力,(きょうりょく),[sound:協力.wav]
強力,(きょうりょく),"herculean strength,mountain carrier-guide",,[sound:強力.wav]
"herculean strength,mountain carrier-guide",,強力,(きょうりょく),[sound:強力.wav]
許可,(きょか),"permission,approval",,[sound:許可.wav]
"permission,approval",,許可,(きょか),[sound:許可.wav]
局,(きょく),"court lady,lady in waiting",,[sound:局.wav]
"court lady,lady in waiting",,局,(きょく),[sound:局.wav]
巨大,(きょだい),"huge,gigantic,enormous",,[sound:巨大.wav]
"huge,gigantic,enormous",,巨大,(きょだい),[sound:巨大.wav]
嫌う,(きらう),"to hate,to dislike,to loathe",,[sound:嫌う.wav]
"to hate,to dislike,to loathe",,嫌う,(きらう),[sound:嫌う.wav]
霧,(きり),"fog,mist",,[sound:霧.wav]
"fog,mist",,霧,(きり),[sound:霧.wav]
切れ,(きれ),"cloth,piece,cut,chop",,[sound:切れ.wav]
"cloth,piece,cut,chop",,切れ,(きれ),[sound:切れ.wav]
切れる,(きれる),"(1) to cut well,to be sharp,(2) to break (off)",,[sound:切れる.wav]
"(1) to cut well,to be sharp,(2) to break (off)",,切れる,(きれる),[sound:切れる.wav]
記録,(きろく),"record,minutes,document",,[sound:記録.wav]
"record,minutes,document",,記録,(きろく),[sound:記録.wav]
議論,(ぎろん),"argument,discussion,dispute",,[sound:議論.wav]
"argument,discussion,dispute",,議論,(ぎろん),[sound:議論.wav]
金,(きん),"(1) gold,(2) gold general (shogi) (abbr)",,[sound:金.wav]
"(1) gold,(2) gold general (shogi) (abbr)",,金,(きん),[sound:金.wav]
銀,(ぎん),"(1) silver,silver coin,silver paint",,[sound:銀.wav]
"(1) silver,silver coin,silver paint",,銀,(ぎん),[sound:銀.wav]
禁煙,(きんえん),No Smoking!,,[sound:禁煙.wav]
No Smoking!,,禁煙,(きんえん),[sound:禁煙.wav]
金額,(きんがく),amount of money,,[sound:金額.wav]
amount of money,,金額,(きんがく),[sound:金額.wav]
金庫,(きんこ),"safe,vault,treasury,provider of funds",,[sound:金庫.wav]
"safe,vault,treasury,provider of funds",,金庫,(きんこ),[sound:金庫.wav]
禁止,(きんし),"prohibition,ban",,[sound:禁止.wav]
"prohibition,ban",,禁止,(きんし),[sound:禁止.wav]
金銭,(きんせん),"money,cash",,[sound:金銭.wav]
"money,cash",,金銭,(きんせん),[sound:金銭.wav]
金属,(きんぞく),metal,,[sound:金属.wav]
metal,,金属,(きんぞく),[sound:金属.wav]
近代,(きんだい),present day,,[sound:近代.wav]
present day,,近代,(きんだい),[sound:近代.wav]
緊張,(きんちょう),"tension,mental strain,nervousness",,[sound:緊張.wav]
"tension,mental strain,nervousness",,緊張,(きんちょう),[sound:緊張.wav]
筋肉,(きんにく),"muscle,sinew",,[sound:筋肉.wav]
"muscle,sinew",,筋肉,(きんにく),[sound:筋肉.wav]
金融,(きんゆう),"monetary circulation,credit situation",,[sound:金融.wav]
"monetary circulation,credit situation",,金融,(きんゆう),[sound:金融.wav]
金曜,(きんよう),(abbr) Friday,,[sound:金曜.wav]
(abbr) Friday,,金曜,(きんよう),[sound:金曜.wav]
句,(く),sentence,,[sound:句.wav]
sentence,,句,(く),[sound:句.wav]
食う,(くう),(male) (vulg) to eat,,[sound:食う.wav]
(male) (vulg) to eat,,食う,(くう),[sound:食う.wav]
偶然,(ぐうぜん),"(by) chance,unexpectedly,suddenly",,[sound:偶然.wav]
"(by) chance,unexpectedly,suddenly",,偶然,(ぐうぜん),[sound:偶然.wav]
臭い,(くさい),"odour,scent,smell,stench",,[sound:臭い.wav]
"odour,scent,smell,stench",,臭い,(くさい),[sound:臭い.wav]
鎖,(くさり),chain,,[sound:鎖.wav]
chain,,鎖,(くさり),[sound:鎖.wav]
腐る,(くさる),"to rot,to go bad",,[sound:腐る.wav]
"to rot,to go bad",,腐る,(くさる),[sound:腐る.wav]
癖,(くせ),"a habit (often a bad habit),peculiarity",,[sound:癖.wav]
"a habit (often a bad habit),peculiarity",,癖,(くせ),[sound:癖.wav]
管,(くだ),"pipe,tube",,[sound:管.wav]
"pipe,tube",,管,(くだ),[sound:管.wav]
具体,(ぐたい),"concrete,tangible,material",,[sound:具体.wav]
"concrete,tangible,material",,具体,(ぐたい),[sound:具体.wav]
下さる,(くださる),"(hon) to give,to confer",,[sound:下さる.wav]
"(hon) to give,to confer",,下さる,(くださる),[sound:下さる.wav]
下り,(くだり),down-train (going away from Tokyo),,[sound:下り.wav]
down-train (going away from Tokyo),,下り,(くだり),[sound:下り.wav]
苦痛,(くつう),"pain,agony",,[sound:苦痛.wav]
"pain,agony",,苦痛,(くつう),[sound:苦痛.wav]
ぐっすり,,"sound asleep,fast asleep",,[sound:ぐっすり.wav]
"sound asleep,fast asleep",,ぐっすり,,[sound:ぐっすり.wav]
区別,(くべつ),"distinction,differentiation,classification",,[sound:区別.wav]
"distinction,differentiation,classification",,区別,(くべつ),[sound:区別.wav]
組,(くみ),"class,group,team,set",,[sound:組.wav]
"class,group,team,set",,組,(くみ),[sound:組.wav]
組合,(くみあい),"association,union",,[sound:組合.wav]
"association,union",,組合,(くみあい),[sound:組合.wav]
組む,(くむ),to put together,,[sound:組む.wav]
to put together,,組む,(くむ),[sound:組む.wav]
曇,(くもり),"cloudiness,cloudy weather,shadow",,[sound:曇.wav]
"cloudiness,cloudy weather,shadow",,曇,(くもり),[sound:曇.wav]
位,(くらい),"grade,rank,about",,[sound:位.wav]
"grade,rank,about",,位,(くらい),[sound:位.wav]
暮らし,(くらし),"living,livelihood,subsistence,circumstances",,[sound:暮らし.wav]
"living,livelihood,subsistence,circumstances",,暮らし,(くらし),[sound:暮らし.wav]
クラシック,,classic(s),,[sound:クラシック.wav]
classic(s),,クラシック,,[sound:クラシック.wav]
暮らす,(くらす),"to live,to get along",,[sound:暮らす.wav]
"to live,to get along",,暮らす,(くらす),[sound:暮らす.wav]
グラス,,"(1) glass,(2) grass",,[sound:グラス.wav]
"(1) glass,(2) grass",,グラス,,[sound:グラス.wav]
グランド,,"gland,grand,(electrical) ground",,[sound:グランド.wav]
"gland,grand,(electrical) ground",,グランド,,[sound:グランド.wav]
クリーム,,cream,,[sound:クリーム.wav]
cream,,クリーム,,[sound:クリーム.wav]
繰り返す,(くりかえす),"to repeat,to do something over again",,[sound:繰り返す.wav]
"to repeat,to do something over again",,繰り返す,(くりかえす),[sound:繰り返す.wav]
クリスマス,,Christmas,,[sound:クリスマス.wav]
Christmas,,クリスマス,,[sound:クリスマス.wav]
狂う,(くるう),"to go mad,to get out of order",,[sound:狂う.wav]
"to go mad,to get out of order",,狂う,(くるう),[sound:狂う.wav]
グループ,,group,,[sound:グループ.wav]
group,,グループ,,[sound:グループ.wav]
苦しい,(くるしい),"painful,difficult",,[sound:苦しい.wav]
"painful,difficult",,苦しい,(くるしい),[sound:苦しい.wav]
苦しむ,(くるしむ),"to suffer,to groan,to be worried",,[sound:苦しむ.wav]
"to suffer,to groan,to be worried",,苦しむ,(くるしむ),[sound:苦しむ.wav]
暮れ,(くれ),"year end,sunset,nightfall,end",,[sound:暮れ.wav]
"year end,sunset,nightfall,end",,暮れ,(くれ),[sound:暮れ.wav]
苦労,(くろう),"troubles,hardships",,[sound:苦労.wav]
"troubles,hardships",,苦労,(くろう),[sound:苦労.wav]
加える,(くわえる),"to append,to sum up,to add (up)",,[sound:加える.wav]
"to append,to sum up,to add (up)",,加える,(くわえる),[sound:加える.wav]
詳しい,(くわしい),"knowing very well,detailed,full,accurate",,[sound:詳しい.wav]
"knowing very well,detailed,full,accurate",,詳しい,(くわしい),[sound:詳しい.wav]
加わる,(くわわる),"to join in,to accede to,to increase,to gain in (influence)",,[sound:加わる.wav]
"to join in,to accede to,to increase,to gain in (influence)",,加わる,(くわわる),[sound:加わる.wav]
訓,(くん),native Japanese reading of a Chinese character,,[sound:訓.wav]
native Japanese reading of a Chinese character,,訓,(くん),[sound:訓.wav]
軍,(ぐん),"army,force,troops",,[sound:軍.wav]
"army,force,troops",,軍,(ぐん),[sound:軍.wav]
軍隊,(ぐんたい),"army,troops",,[sound:軍隊.wav]
"army,troops",,軍隊,(ぐんたい),[sound:軍隊.wav]
訓練,(くんれん),"practice,training",,[sound:訓練.wav]
"practice,training",,訓練,(くんれん),[sound:訓練.wav]
下,(げ),"under,below,beneath",,[sound:下.wav]
"under,below,beneath",,下,(げ),[sound:下.wav]
計,(けい),plan,,[sound:計.wav]
plan,,計,(けい),[sound:計.wav]
敬意,(けいい),"respect,honour",,[sound:敬意.wav]
"respect,honour",,敬意,(けいい),[sound:敬意.wav]
経営,(けいえい),"management,administration",,[sound:経営.wav]
"management,administration",,経営,(けいえい),[sound:経営.wav]
景気,(けいき),"condition,state,business (condition)",,[sound:景気.wav]
"condition,state,business (condition)",,景気,(けいき),[sound:景気.wav]
傾向,(けいこう),"tendency,trend,inclination",,[sound:傾向.wav]
"tendency,trend,inclination",,傾向,(けいこう),[sound:傾向.wav]
警告,(けいこく),"warning,advice",,[sound:警告.wav]
"warning,advice",,警告,(けいこく),[sound:警告.wav]
計算,(けいさん),"calculation,reckoning",,[sound:計算.wav]
"calculation,reckoning",,計算,(けいさん),[sound:計算.wav]
掲示,(けいじ),"notice,bulletin",,[sound:掲示.wav]
"notice,bulletin",,掲示,(けいじ),[sound:掲示.wav]
刑事,(けいじ),"criminal case,(police) detective",,[sound:刑事.wav]
"criminal case,(police) detective",,刑事,(けいじ),[sound:刑事.wav]
芸術,(げいじゅつ),"(fine) art,the arts",,[sound:芸術.wav]
"(fine) art,the arts",,芸術,(げいじゅつ),[sound:芸術.wav]
契約,(けいやく),"contract,compact,agreement",,[sound:契約.wav]
"contract,compact,agreement",,契約,(けいやく),[sound:契約.wav]
経由,(けいゆ),"go by the way,via",,[sound:経由.wav]
"go by the way,via",,経由,(けいゆ),[sound:経由.wav]
ケース,,case,,[sound:ケース.wav]
case,,ケース,,[sound:ケース.wav]
ゲーム,,game,,[sound:ゲーム.wav]
game,,ゲーム,,[sound:ゲーム.wav]
劇,(げき),"drama,play",,[sound:劇.wav]
"drama,play",,劇,(げき),[sound:劇.wav]
劇場,(げきじょう),"theatre,playhouse",,[sound:劇場.wav]
"theatre,playhouse",,劇場,(げきじょう),[sound:劇場.wav]
化粧,(けしょう),make-up (cosmetic),,[sound:化粧.wav]
make-up (cosmetic),,化粧,(けしょう),[sound:化粧.wav]
けち,,"stinginess,miser,miserliness",,[sound:けち.wav]
"stinginess,miser,miserliness",,けち,,[sound:けち.wav]
結果,(けっか),"result,consequence",,[sound:結果.wav]
"result,consequence",,結果,(けっか),[sound:結果.wav]
欠陥,(けっかん),"defect,fault,deficiency",,[sound:欠陥.wav]
"defect,fault,deficiency",,欠陥,(けっかん),[sound:欠陥.wav]
結局,(けっきょく),"after all,eventually",,[sound:結局.wav]
"after all,eventually",,結局,(けっきょく),[sound:結局.wav]
決心,(けっしん),"determination,resolution",,[sound:決心.wav]
"determination,resolution",,決心,(けっしん),[sound:決心.wav]
欠席,(けっせき),"absence,non-attendance",,[sound:欠席.wav]
"absence,non-attendance",,欠席,(けっせき),[sound:欠席.wav]
決定,(けってい),"decision,determination",,[sound:決定.wav]
"decision,determination",,決定,(けってい),[sound:決定.wav]
欠点,(けってん),"faults,defect,weakness",,[sound:欠点.wav]
"faults,defect,weakness",,欠点,(けってん),[sound:欠点.wav]
月曜,(げつよう),Monday,,[sound:月曜.wav]
Monday,,月曜,(げつよう),[sound:月曜.wav]
結論,(けつろん),conclusion,,[sound:結論.wav]
conclusion,,結論,(けつろん),[sound:結論.wav]
煙,(けむり),"smoke,fumes",,[sound:煙.wav]
"smoke,fumes",,煙,(けむり),[sound:煙.wav]
券,(けん),"ticket,coupon,bond,certificate",,[sound:券.wav]
"ticket,coupon,bond,certificate",,券,(けん),[sound:券.wav]
県,(けん),prefecture,,[sound:県.wav]
prefecture,,県,(けん),[sound:県.wav]
軒,(けん),eaves,,[sound:軒.wav]
eaves,,軒,(けん),[sound:軒.wav]
見解,(けんかい),"opinion,point of view",,[sound:見解.wav]
"opinion,point of view",,見解,(けんかい),[sound:見解.wav]
限界,(げんかい),"limit,bound",,[sound:限界.wav]
"limit,bound",,限界,(げんかい),[sound:限界.wav]
現金,(げんきん),"cash,ready money,mercenary,self-interested",,[sound:現金.wav]
"cash,ready money,mercenary,self-interested",,現金,(げんきん),[sound:現金.wav]
言語,(げんご),language,,[sound:言語.wav]
language,,言語,(げんご),[sound:言語.wav]
健康,(けんこう),"health,sound,wholesome",,[sound:健康.wav]
"health,sound,wholesome",,健康,(けんこう),[sound:健康.wav]
検査,(けんさ),"inspection (e.g. customs, factory),examination",,[sound:検査.wav]
"inspection (e.g. customs, factory),examination",,検査,(けんさ),[sound:検査.wav]
現在,(げんざい),"present,up to now,nowadays,modern times,current",,[sound:現在.wav]
"present,up to now,nowadays,modern times,current",,現在,(げんざい),[sound:現在.wav]
現実,(げんじつ),reality,,[sound:現実.wav]
reality,,現実,(げんじつ),[sound:現実.wav]
現象,(げんしょう),phenomenon,,[sound:現象.wav]
phenomenon,,現象,(げんしょう),[sound:現象.wav]
現状,(げんじょう),"present condition,existing state,status quo",,[sound:現状.wav]
"present condition,existing state,status quo",,現状,(げんじょう),[sound:現状.wav]
建設,(けんせつ),"construction,establishment",,[sound:建設.wav]
"construction,establishment",,建設,(けんせつ),[sound:建設.wav]
現代,(げんだい),"nowadays,modern times,present-day",,[sound:現代.wav]
"nowadays,modern times,present-day",,現代,(げんだい),[sound:現代.wav]
建築,(けんちく),"construction,architecture",,[sound:建築.wav]
"construction,architecture",,建築,(けんちく),[sound:建築.wav]
見当,(けんとう),"be found,aim,estimate,guess,approx",,[sound:見当.wav]
"be found,aim,estimate,guess,approx",,見当,(けんとう),[sound:見当.wav]
検討,(けんとう),"consideration,examination,investigation,study,scrutiny",,[sound:検討.wav]
"consideration,examination,investigation,study,scrutiny",,検討,(けんとう),[sound:検討.wav]
現場,(げんば),"actual spot,scene,scene of the crime",,[sound:現場.wav]
"actual spot,scene,scene of the crime",,現場,(げんば),[sound:現場.wav]
憲法,(けんぽう),constitution,,[sound:憲法.wav]
constitution,,憲法,(けんぽう),[sound:憲法.wav]
権利,(けんり),"right,privilege",,[sound:権利.wav]
"right,privilege",,権利,(けんり),[sound:権利.wav]
後,(ご),"afterwards,since then,in the future",,[sound:後.wav]
"afterwards,since then,in the future",,後,(ご),[sound:後.wav]
語,(ご),"language,word",,[sound:語.wav]
"language,word",,語,(ご),[sound:語.wav]
恋,(こい),"love,tender passion",,[sound:恋.wav]
"love,tender passion",,恋,(こい),[sound:恋.wav]
濃い,(こい),"thick (as of color, liquid),dense,strong",,[sound:濃い.wav]
"thick (as of color, liquid),dense,strong",,濃い,(こい),[sound:濃い.wav]
恋人,(こいびと),"lover,sweetheart",,[sound:恋人.wav]
"lover,sweetheart",,恋人,(こいびと),[sound:恋人.wav]
幸運,(こううん),"good luck,fortune",,[sound:幸運.wav]
"good luck,fortune",,幸運,(こううん),[sound:幸運.wav]
講演,(こうえん),"lecture,address",,[sound:講演.wav]
"lecture,address",,講演,(こうえん),[sound:講演.wav]
効果,(こうか),"effect,effectiveness,efficacy,result",,[sound:効果.wav]
"effect,effectiveness,efficacy,result",,効果,(こうか),[sound:効果.wav]
硬貨,(こうか),coin,,[sound:硬貨.wav]
coin,,硬貨,(こうか),[sound:硬貨.wav]
高価,(こうか),high price,,[sound:高価.wav]
high price,,高価,(こうか),[sound:高価.wav]
豪華,(ごうか),"wonderful,gorgeous,splendor,pomp,extravagance",,[sound:豪華.wav]
"wonderful,gorgeous,splendor,pomp,extravagance",,豪華,(ごうか),[sound:豪華.wav]
合格,(ごうかく),"success,passing (e.g. exam),eligibility",,[sound:合格.wav]
"success,passing (e.g. exam),eligibility",,合格,(ごうかく),[sound:合格.wav]
交換,(こうかん),"exchange,interchange,reciprocity",,[sound:交換.wav]
"exchange,interchange,reciprocity",,交換,(こうかん),[sound:交換.wav]
航空,(こうくう),"aviation,flying",,[sound:航空.wav]
"aviation,flying",,航空,(こうくう),[sound:航空.wav]
光景,(こうけい),"scene,spectacle",,[sound:光景.wav]
"scene,spectacle",,光景,(こうけい),[sound:光景.wav]
合計,(ごうけい),"sum total,total amount",,[sound:合計.wav]
"sum total,total amount",,合計,(ごうけい),[sound:合計.wav]
攻撃,(こうげき),"attack,strike,offensive,criticism,censure",,[sound:攻撃.wav]
"attack,strike,offensive,criticism,censure",,攻撃,(こうげき),[sound:攻撃.wav]
貢献,(こうけん),"contribution,services",,[sound:貢献.wav]
"contribution,services",,貢献,(こうけん),[sound:貢献.wav]
広告,(こうこく),advertisement,,[sound:広告.wav]
advertisement,,広告,(こうこく),[sound:広告.wav]
交際,(こうさい),"company,friendship,association,society,acquaintance",,[sound:交際.wav]
"company,friendship,association,society,acquaintance",,交際,(こうさい),[sound:交際.wav]
後者,(こうしゃ),the latter,,[sound:後者.wav]
the latter,,後者,(こうしゃ),[sound:後者.wav]
工場,(こうば),"factory,plant,mill,workshop",,[sound:工場.wav]
"factory,plant,mill,workshop",,工場,(こうば),[sound:工場.wav]
構成,(こうせい),"organization,composition",,[sound:構成.wav]
"organization,composition",,構成,(こうせい),[sound:構成.wav]
高速,(こうそく),"high speed,high gear",,[sound:高速.wav]
"high speed,high gear",,高速,(こうそく),[sound:高速.wav]
行動,(こうどう),"action,conduct,behaviour,mobilization",,[sound:行動.wav]
"action,conduct,behaviour,mobilization",,行動,(こうどう),[sound:行動.wav]
強盗,(ごうとう),"robbery,burglary",,[sound:強盗.wav]
"robbery,burglary",,強盗,(ごうとう),[sound:強盗.wav]
幸福,(こうふく),"happiness,blessedness",,[sound:幸福.wav]
"happiness,blessedness",,幸福,(こうふく),[sound:幸福.wav]
公平,(こうへい),"fairness,impartial,justice",,[sound:公平.wav]
"fairness,impartial,justice",,公平,(こうへい),[sound:公平.wav]
候補,(こうほ),candidacy,,[sound:候補.wav]
candidacy,,候補,(こうほ),[sound:候補.wav]
考慮,(こうりょ),"consideration,taking into account",,[sound:考慮.wav]
"consideration,taking into account",,考慮,(こうりょ),[sound:考慮.wav]
越える,(こえる),"to exceed,to cross over,to cross",,[sound:越える.wav]
"to exceed,to cross over,to cross",,越える,(こえる),[sound:越える.wav]
コーチ,,coach,,[sound:コーチ.wav]
coach,,コーチ,,[sound:コーチ.wav]
コード,,"code,cord,chord",,[sound:コード.wav]
"code,cord,chord",,コード,,[sound:コード.wav]
氷,(こおり),"ice,hail",,[sound:氷.wav]
"ice,hail",,氷,(こおり),[sound:氷.wav]
凍る,(こおる),"to freeze,to be frozen over,to congeal",,[sound:凍る.wav]
"to freeze,to be frozen over,to congeal",,凍る,(こおる),[sound:凍る.wav]
ゴール,,goal,,[sound:ゴール.wav]
goal,,ゴール,,[sound:ゴール.wav]
誤解,(ごかい),misunderstanding,,[sound:誤解.wav]
misunderstanding,,誤解,(ごかい),[sound:誤解.wav]
語学,(ごがく),language study,,[sound:語学.wav]
language study,,語学,(ごがく),[sound:語学.wav]
呼吸,(こきゅう),"breath,respiration",,[sound:呼吸.wav]
"breath,respiration",,呼吸,(こきゅう),[sound:呼吸.wav]
故郷,(こきょう),"home town,birthplace,old village,historic village",,[sound:故郷.wav]
"home town,birthplace,old village,historic village",,故郷,(こきょう),[sound:故郷.wav]
極,(ごく),"quite,very",,[sound:極.wav]
"quite,very",,極,(ごく),[sound:極.wav]
国語,(こくご),national language,,[sound:国語.wav]
national language,,国語,(こくご),[sound:国語.wav]
黒板,(こくばん),blackboard,,[sound:黒板.wav]
blackboard,,黒板,(こくばん),[sound:黒板.wav]
克服,(こくふく),"subjugation,conquest",,[sound:克服.wav]
"subjugation,conquest",,克服,(こくふく),[sound:克服.wav]
国民,(こくみん),"national,people,citizen",,[sound:国民.wav]
"national,people,citizen",,国民,(こくみん),[sound:国民.wav]
