ftitle,fsubtitle,btitle,bsubtitle,audio
"helpless,pity,sorrow,grief",,哀れ,(あわれ),[sound:哀れ.wav]
案,(あん),"plan,suffix meaning draft",,[sound:案.wav]
"plan,suffix meaning draft",,案,(あん),[sound:案.wav]
暗記,(あんき),"memorization,learning by heart",,[sound:暗記.wav]
"memorization,learning by heart",,暗記,(あんき),[sound:暗記.wav]
安定,(あんてい),"stability,equilibrium",,[sound:安定.wav]
"stability,equilibrium",,安定,(あんてい),[sound:安定.wav]
あんなに,,"to that extent,to that degree",,[sound:あんなに.wav]
"to that extent,to that degree",,あんなに,,[sound:あんなに.wav]
あんまり,,"not very,not much,remainder,rest",,[sound:あんまり.wav]
"not very,not much,remainder,rest",,あんまり,,[sound:あんまり.wav]
胃,(い),stomach,,[sound:胃.wav]
stomach,,胃,(い),[sound:胃.wav]
いえ,,TODO same as いいえ?,,[sound:いえ.wav]
TODO same as いいえ?,,いえ,,[sound:いえ.wav]
委員,(いいん),committee member,,[sound:委員.wav]
committee member,,委員,(いいん),[sound:委員.wav]
言う,(ゆう),to say,,[sound:言う.wav]
to say,,言う,(ゆう),[sound:言う.wav]
意外,(いがい),"unexpected,surprising",,[sound:意外.wav]
"unexpected,surprising",,意外,(いがい),[sound:意外.wav]
行き,(いき),going,,[sound:行き.wav]
going,,行き,(いき),[sound:行き.wav]
行き,(ゆき),going,,[sound:行き.wav]
going,,行き,(ゆき),[sound:行き.wav]
息,(いき),"breath,tone",,[sound:息.wav]
"breath,tone",,息,(いき),[sound:息.wav]
勢い,(いきおい),"force,vigor,energy,spirit",,[sound:勢い.wav]
"force,vigor,energy,spirit",,勢い,(いきおい),[sound:勢い.wav]
生き物,(いきもの),"living thing,animal",,[sound:生き物.wav]
"living thing,animal",,生き物,(いきもの),[sound:生き物.wav]
幾つ,(いくつ),"how many?,how old?",,[sound:幾つ.wav]
"how many?,how old?",,幾つ,(いくつ),[sound:幾つ.wav]
幾ら,(いくら),"how much?,how many?",,[sound:幾ら.wav]
"how much?,how many?",,幾ら,(いくら),[sound:幾ら.wav]
いけない,,"must not do,bad,wrong,not good",,[sound:いけない.wav]
"must not do,bad,wrong,not good",,いけない,,[sound:いけない.wav]
医師,(いし),"doctor,physician",,[sound:医師.wav]
"doctor,physician",,医師,(いし),[sound:医師.wav]
意思,(いし),"intention,purpose",,[sound:意思.wav]
"intention,purpose",,意思,(いし),[sound:意思.wav]
意志,(いし),"will,volition",,[sound:意志.wav]
"will,volition",,意志,(いし),[sound:意志.wav]
維持,(いじ),"maintenance,preservation",,[sound:維持.wav]
"maintenance,preservation",,維持,(いじ),[sound:維持.wav]
意識,(いしき),"consciousness,senses",,[sound:意識.wav]
"consciousness,senses",,意識,(いしき),[sound:意識.wav]
異常,(いじょう),"strangeness,abnormality,disorder",,[sound:異常.wav]
"strangeness,abnormality,disorder",,異常,(いじょう),[sound:異常.wav]
椅子,(いす),chair,,[sound:椅子.wav]
chair,,椅子,(いす),[sound:椅子.wav]
泉,(いずみ),"spring,fountain",,[sound:泉.wav]
"spring,fountain",,泉,(いずみ),[sound:泉.wav]
いずれ,,"where,which,who",,[sound:いずれ.wav]
"where,which,who",,いずれ,,[sound:いずれ.wav]
以前,(いぜん),"ago,since,before,previous",,[sound:以前.wav]
"ago,since,before,previous",,以前,(いぜん),[sound:以前.wav]
板,(いた),"board,plank",,[sound:板.wav]
"board,plank",,板,(いた),[sound:板.wav]
偉大,(いだい),greatness,,[sound:偉大.wav]
greatness,,偉大,(いだい),[sound:偉大.wav]
抱く,(いだく),"(sl) to embrace,to hug,to harbour,to entertain",,[sound:抱く.wav]
"(sl) to embrace,to hug,to harbour,to entertain",,抱く,(いだく),[sound:抱く.wav]
悪戯,(いたずら),"tease,prank,trick,practical joke",,[sound:悪戯.wav]
"tease,prank,trick,practical joke",,悪戯,(いたずら),[sound:悪戯.wav]
いただきます,,expression of gratitude before meals,,[sound:いただきます.wav]
expression of gratitude before meals,,いただきます,,[sound:いただきます.wav]
頂く,(いただく),"to receive,to take food or drink (hum)",,[sound:頂く.wav]
"to receive,to take food or drink (hum)",,頂く,(いただく),[sound:頂く.wav]
痛み,(いたみ),"pain,ache,sore,grief,distress",,[sound:痛み.wav]
"pain,ache,sore,grief,distress",,痛み,(いたみ),[sound:痛み.wav]
至る,(いたる),"to come,to arrive",,[sound:至る.wav]
"to come,to arrive",,至る,(いたる),[sound:至る.wav]
市,(いち),"market,fair",,[sound:市.wav]
"market,fair",,市,(いち),[sound:市.wav]
位置,(いち),"place,situation,position,location",,[sound:位置.wav]
"place,situation,position,location",,位置,(いち),[sound:位置.wav]
一時,(いちじ),"moment,time",,[sound:一時.wav]
"moment,time",,一時,(いちじ),[sound:一時.wav]
一度に,(いちどに),all at once,,[sound:一度に.wav]
all at once,,一度に,(いちどに),[sound:一度に.wav]
市場,(いちば),(the) market (as a concept),,[sound:市場.wav]
(the) market (as a concept),,市場,(いちば),[sound:市場.wav]
一番,(いちばん),"best,first,number one",,[sound:一番.wav]
"best,first,number one",,一番,(いちばん),[sound:一番.wav]
何時か,(いつか),"sometime,someday,one day",,[sound:何時か.wav]
"sometime,someday,one day",,何時か,(いつか),[sound:何時か.wav]
一家,(いっか),"a house,a home,a family,a household",,[sound:一家.wav]
"a house,a home,a family,a household",,一家,(いっか),[sound:一家.wav]
一種,(いっしゅ),"a species,a kind,a variety",,[sound:一種.wav]
"a species,a kind,a variety",,一種,(いっしゅ),[sound:一種.wav]
一瞬,(いっしゅん),"a moment,an instant",,[sound:一瞬.wav]
"a moment,an instant",,一瞬,(いっしゅん),[sound:一瞬.wav]
一生,(いっしょう),"whole life,a lifetime,all through life",,[sound:一生.wav]
"whole life,a lifetime,all through life",,一生,(いっしょう),[sound:一生.wav]
一層,(いっそう),"much more,still more,all the more",,[sound:一層.wav]
"much more,still more,all the more",,一層,(いっそう),[sound:一層.wav]
一体,(いったい),"(1) one object,one body,(2) what on earth?,really?,(3) generally",,[sound:一体.wav]
"(1) one object,one body,(2) what on earth?,really?,(3) generally",,一体,(いったい),[sound:一体.wav]
一致,(いっち),"(1) coincidence,agreement,(2) conformity",,[sound:一致.wav]
"(1) coincidence,agreement,(2) conformity",,一致,(いっち),[sound:一致.wav]
いつでも,,"(at) any time,always,at all times,never (neg)",,[sound:いつでも.wav]
"(at) any time,always,at all times,never (neg)",,いつでも,,[sound:いつでも.wav]
一般,(いっぱん),"general,liberal,universal,ordinary,average",,[sound:一般.wav]
"general,liberal,universal,ordinary,average",,一般,(いっぱん),[sound:一般.wav]
一方,(いっぽう),"(1) on the other hand,(2) meanwhile,(3) only,simple,in turn",,[sound:一方.wav]
"(1) on the other hand,(2) meanwhile,(3) only,simple,in turn",,一方,(いっぽう),[sound:一方.wav]
いつまでも,,"forever,for good,eternally,as long as one likes,indefinitely",,[sound:いつまでも.wav]
"forever,for good,eternally,as long as one likes,indefinitely",,いつまでも,,[sound:いつまでも.wav]
何時も,(いつも),"always,usually,every time,never (with neg. verb)",,[sound:何時も.wav]
"always,usually,every time,never (with neg. verb)",,何時も,(いつも),[sound:何時も.wav]
移動,(いどう),"removal,migration,movement",,[sound:移動.wav]
"removal,migration,movement",,移動,(いどう),[sound:移動.wav]
従兄弟,(いとこ),cousin (male),,[sound:従兄弟.wav]
cousin (male),,従兄弟,(いとこ),[sound:従兄弟.wav]
稲,(いね),rice-plant,,[sound:稲.wav]
rice-plant,,稲,(いね),[sound:稲.wav]
居眠り,(いねむり),"dozing,nodding off",,[sound:居眠り.wav]
"dozing,nodding off",,居眠り,(いねむり),[sound:居眠り.wav]
命,(いのち),"command,decree,life,destiny",,[sound:命.wav]
"command,decree,life,destiny",,命,(いのち),[sound:命.wav]
違反,(いはん),"violation (of law),transgression,infringement,breach",,[sound:違反.wav]
"violation (of law),transgression,infringement,breach",,違反,(いはん),[sound:違反.wav]
衣服,(いふく),clothes,,[sound:衣服.wav]
clothes,,衣服,(いふく),[sound:衣服.wav]
居間,(いま),living room (western style),,[sound:居間.wav]
living room (western style),,居間,(いま),[sound:居間.wav]
今に,(いまに),"before long,even now",,[sound:今に.wav]
"before long,even now",,今に,(いまに),[sound:今に.wav]
今にも,(いまにも),"at any time,soon",,[sound:今にも.wav]
"at any time,soon",,今にも,(いまにも),[sound:今にも.wav]
否,(いや),"no,the noes",,[sound:否.wav]
"no,the noes",,否,(いや),[sound:否.wav]
以来,(いらい),"since,henceforth",,[sound:以来.wav]
"since,henceforth",,以来,(いらい),[sound:以来.wav]
依頼,(いらい),"(1) request,commission,dispatch,(2) dependence,trust",,[sound:依頼.wav]
"(1) request,commission,dispatch,(2) dependence,trust",,依頼,(いらい),[sound:依頼.wav]
いらいら,,"getting nervous,irritation",,[sound:いらいら.wav]
"getting nervous,irritation",,いらいら,,[sound:いらいら.wav]
いらっしゃい,,welcome,,[sound:いらっしゃい.wav]
welcome,,いらっしゃい,,[sound:いらっしゃい.wav]
医療,(いりょう),"medical care,medical treatment",,[sound:医療.wav]
"medical care,medical treatment",,医療,(いりょう),[sound:医療.wav]
岩,(いわ),"rock,crag",,[sound:岩.wav]
"rock,crag",,岩,(いわ),[sound:岩.wav]
祝い,(いわい),"celebration,festival",,[sound:祝い.wav]
"celebration,festival",,祝い,(いわい),[sound:祝い.wav]
祝う,(いわう),"to congratulate,to celebrate",,[sound:祝う.wav]
"to congratulate,to celebrate",,祝う,(いわう),[sound:祝う.wav]
言わば,(いわば),so to speak,,[sound:言わば.wav]
so to speak,,言わば,(いわば),[sound:言わば.wav]
いわゆる,,"the so-called,so to speak",,[sound:いわゆる.wav]
"the so-called,so to speak",,いわゆる,,[sound:いわゆる.wav]
インク,,ink,,[sound:インク.wav]
ink,,インク,,[sound:インク.wav]
印刷,(いんさつ),printing,,[sound:印刷.wav]
printing,,印刷,(いんさつ),[sound:印刷.wav]
印象,(いんしょう),impression,,[sound:印象.wav]
impression,,印象,(いんしょう),[sound:印象.wav]
引退,(いんたい),retire,,[sound:引退.wav]
retire,,引退,(いんたい),[sound:引退.wav]
引用,(いんよう),"quotation,citation",,[sound:引用.wav]
"quotation,citation",,引用,(いんよう),[sound:引用.wav]
ウイスキー,,whisky,,[sound:ウイスキー.wav]
whisky,,ウイスキー,,[sound:ウイスキー.wav]
上,(うわ),"upper,outer,surface",,[sound:上.wav]
"upper,outer,surface",,上,(うわ),[sound:上.wav]
魚,(うお),fish,,[sound:魚.wav]
fish,,魚,(うお),[sound:魚.wav]
嗽,(うがい),"gargle,rinse mouth",,[sound:嗽.wav]
"gargle,rinse mouth",,嗽,(うがい),[sound:嗽.wav]
受け取る,(うけとる),"to receive,to get,to accept,to take",,[sound:受け取る.wav]
"to receive,to get,to accept,to take",,受け取る,(うけとる),[sound:受け取る.wav]
動かす,(うごかす),"to move,to shift",,[sound:動かす.wav]
"to move,to shift",,動かす,(うごかす),[sound:動かす.wav]
兎,(うさぎ),"rabbit,hare,cony",,[sound:兎.wav]
"rabbit,hare,cony",,兎,(うさぎ),[sound:兎.wav]
牛,(うし),"cattle,cow",,[sound:牛.wav]
"cattle,cow",,牛,(うし),[sound:牛.wav]
失う,(うしなう),"to lose,to part with",,[sound:失う.wav]
"to lose,to part with",,失う,(うしなう),[sound:失う.wav]
後,(うしろ),"afterwards,since then,in the future",,[sound:後.wav]
"afterwards,since then,in the future",,後,(うしろ),[sound:後.wav]
疑う,(うたがう),"to doubt,to distrust,to be suspicious of,to suspect",,[sound:疑う.wav]
"to doubt,to distrust,to be suspicious of,to suspect",,疑う,(うたがう),[sound:疑う.wav]
宇宙,(うちゅう),"universe,cosmos,space",,[sound:宇宙.wav]
"universe,cosmos,space",,宇宙,(うちゅう),[sound:宇宙.wav]
撃つ,(うつ),"to attack,to defeat,to destroy",,[sound:撃つ.wav]
"to attack,to defeat,to destroy",,撃つ,(うつ),[sound:撃つ.wav]
移す,(うつす),"to remove,to transfer,to infect",,[sound:移す.wav]
"to remove,to transfer,to infect",,移す,(うつす),[sound:移す.wav]
訴える,(うったえる),"to sue (a person),to resort to,to appeal to",,[sound:訴える.wav]
"to sue (a person),to resort to,to appeal to",,訴える,(うったえる),[sound:訴える.wav]
うなる,,"to groan,to moan",,[sound:うなる.wav]
"to groan,to moan",,うなる,,[sound:うなる.wav]
奪う,(うばう),to snatch away,,[sound:奪う.wav]
to snatch away,,奪う,(うばう),[sound:奪う.wav]
馬,(うま),"(1) horse,(2) promoted bishop (shogi)",,[sound:馬.wav]
"(1) horse,(2) promoted bishop (shogi)",,馬,(うま),[sound:馬.wav]
生まれ,(うまれ),"birth,birth-place",,[sound:生まれ.wav]
"birth,birth-place",,生まれ,(うまれ),[sound:生まれ.wav]
梅,(うめ),"plum,plum-tree,lowest (of a three-tier ranking system)",,[sound:梅.wav]
"plum,plum-tree,lowest (of a three-tier ranking system)",,梅,(うめ),[sound:梅.wav]
裏切る,(うらぎる),"to betray,to turn traitor to,to double-cross",,[sound:裏切る.wav]
"to betray,to turn traitor to,to double-cross",,裏切る,(うらぎる),[sound:裏切る.wav]
うるさい,,"noisy,loud,fussy",,[sound:うるさい.wav]
"noisy,loud,fussy",,うるさい,,[sound:うるさい.wav]
嬉しい,(うれしい),"happy,glad,pleasant",,[sound:嬉しい.wav]
"happy,glad,pleasant",,嬉しい,(うれしい),[sound:嬉しい.wav]
売れる,(うれる),to be sold,,[sound:売れる.wav]
to be sold,,売れる,(うれる),[sound:売れる.wav]
噂,(うわさ),"rumour,report,gossip,common talk",,[sound:噂.wav]
"rumour,report,gossip,common talk",,噂,(うわさ),[sound:噂.wav]
運,(うん),"fortune,luck",,[sound:運.wav]
"fortune,luck",,運,(うん),[sound:運.wav]
柄,(え),"handle,grip",,[sound:柄.wav]
"handle,grip",,柄,(え),[sound:柄.wav]
永遠,(えいえん),"eternity,perpetuity,immortality,permanence",,[sound:永遠.wav]
"eternity,perpetuity,immortality,permanence",,永遠,(えいえん),[sound:永遠.wav]
永久,(えいきゅう),"eternity,perpetuity,immortality",,[sound:永久.wav]
"eternity,perpetuity,immortality",,永久,(えいきゅう),[sound:永久.wav]
影響,(えいきょう),"influence,effect",,[sound:影響.wav]
"influence,effect",,影響,(えいきょう),[sound:影響.wav]
営業,(えいぎょう),"business,trade,management",,[sound:営業.wav]
"business,trade,management",,営業,(えいぎょう),[sound:営業.wav]
衛星,(えいせい),satellite,,[sound:衛星.wav]
satellite,,衛星,(えいせい),[sound:衛星.wav]
栄養,(えいよう),"nutrition,nourishment",,[sound:栄養.wav]
"nutrition,nourishment",,栄養,(えいよう),[sound:栄養.wav]
笑顔,(えがお),smiling face,,[sound:笑顔.wav]
smiling face,,笑顔,(えがお),[sound:笑顔.wav]
描く,(えがく),"to draw,to paint,to sketch,to depict,to describe",,[sound:描く.wav]
"to draw,to paint,to sketch,to depict,to describe",,描く,(えがく),[sound:描く.wav]
餌,(えさ),"feed,bait",,[sound:餌.wav]
"feed,bait",,餌,(えさ),[sound:餌.wav]
エネルギー,,(n) energy (de: Energie),,[sound:エネルギー.wav]
(n) energy (de: Energie),,エネルギー,,[sound:エネルギー.wav]
得る,(える),"to get,to gain,to win",,[sound:得る.wav]
"to get,to gain,to win",,得る,(える),[sound:得る.wav]
得る,(うる),"to get,to gain,to win",,[sound:得る.wav]
"to get,to gain,to win",,得る,(うる),[sound:得る.wav]
円,(えん),"circle,money",,[sound:円.wav]
"circle,money",,円,(えん),[sound:円.wav]
延期,(えんき),"postponement,adjournment",,[sound:延期.wav]
"postponement,adjournment",,延期,(えんき),[sound:延期.wav]
演技,(えんぎ),"acting,performance",,[sound:演技.wav]
"acting,performance",,演技,(えんぎ),[sound:演技.wav]
援助,(えんじょ),"assistance,aid,support",,[sound:援助.wav]
"assistance,aid,support",,援助,(えんじょ),[sound:援助.wav]
エンジン,,engine,,[sound:エンジン.wav]
engine,,エンジン,,[sound:エンジン.wav]
演説,(えんぜつ),"speech,address",,[sound:演説.wav]
"speech,address",,演説,(えんぜつ),[sound:演説.wav]
演奏,(えんそう),musical performance,,[sound:演奏.wav]
musical performance,,演奏,(えんそう),[sound:演奏.wav]
御,(お),honourable,,[sound:御.wav]
honourable,,御,(お),[sound:御.wav]
老い,(おい),"old age,old person,the old,the aged",,[sound:老い.wav]
"old age,old person,the old,the aged",,老い,(おい),[sound:老い.wav]
追い付く,(おいつく),"to overtake,to catch up (with)",,[sound:追い付く.wav]
"to overtake,to catch up (with)",,追い付く,(おいつく),[sound:追い付く.wav]
王,(おう),"king,ruler,sovereign,monarch",,[sound:王.wav]
"king,ruler,sovereign,monarch",,王,(おう),[sound:王.wav]
追う,(おう),"to chase,to run after",,[sound:追う.wav]
"to chase,to run after",,追う,(おう),[sound:追う.wav]
王様,(おうさま),king,,[sound:王様.wav]
king,,王様,(おうさま),[sound:王様.wav]
王子,(おうじ),prince,,[sound:王子.wav]
prince,,王子,(おうじ),[sound:王子.wav]
応じる,(おうじる),"to respond,to satisfy,to accept,to comply with,to apply for",,[sound:応じる.wav]
"to respond,to satisfy,to accept,to comply with,to apply for",,応じる,(おうじる),[sound:応じる.wav]
横断,(おうだん),crossing,,[sound:横断.wav]
crossing,,横断,(おうだん),[sound:横断.wav]
終える,(おえる),to finish,,[sound:終える.wav]
to finish,,終える,(おえる),[sound:終える.wav]
大いに,(おおいに),"very,much,greatly",,[sound:大いに.wav]
"very,much,greatly",,大いに,(おおいに),[sound:大いに.wav]
覆う,(おおう),"to cover,to hide,to conceal,to wrap,to disguise",,[sound:覆う.wav]
"to cover,to hide,to conceal,to wrap,to disguise",,覆う,(おおう),[sound:覆う.wav]
オーバー,,"(1) overcoat,(2) over",,[sound:オーバー.wav]
"(1) overcoat,(2) over",,オーバー,,[sound:オーバー.wav]
大家,(おおや),"rich family,distinguished family",,[sound:大家.wav]
"rich family,distinguished family",,大家,(おおや),[sound:大家.wav]
丘,(おか),"hill,height,knoll,rising ground",,[sound:丘.wav]
"hill,height,knoll,rising ground",,丘,(おか),[sound:丘.wav]
沖,(おき),open sea,,[sound:沖.wav]
open sea,,沖,(おき),[sound:沖.wav]
奥,(おく),"interior,inner part",,[sound:奥.wav]
"interior,inner part",,奥,(おく),[sound:奥.wav]
贈る,(おくる),"to send,to give to,to award to,to confer on",,[sound:贈る.wav]
"to send,to give to,to award to,to confer on",,贈る,(おくる),[sound:贈る.wav]
起こる,(おこる),"to occur,to happen",,[sound:起こる.wav]
"to occur,to happen",,起こる,(おこる),[sound:起こる.wav]
幼い,(おさない),"very young,childish",,[sound:幼い.wav]
"very young,childish",,幼い,(おさない),[sound:幼い.wav]
