ftitle,fsubtitle,btitle,bsubtitle,audio
"backdoor,rear entrance",,裏口,(うらぐち),[sound:裏口.wav]
占う,(うらなう),"to forecast,to predict",,[sound:占う.wav]
"to forecast,to predict",,占う,(うらなう),[sound:占う.wav]
恨み,(うらみ),resentment,,[sound:恨み.wav]
resentment,,恨み,(うらみ),[sound:恨み.wav]
恨む,(うらむ),"to curse,to feel bitter",,[sound:恨む.wav]
"to curse,to feel bitter",,恨む,(うらむ),[sound:恨む.wav]
羨ましい,(うらやましい),"envious,enviable",,[sound:羨ましい.wav]
"envious,enviable",,羨ましい,(うらやましい),[sound:羨ましい.wav]
羨む,(うらやむ),to envy,,[sound:羨む.wav]
to envy,,羨む,(うらやむ),[sound:羨む.wav]
売上,(うりあげ),"amount sold,proceeds",,[sound:売上.wav]
"amount sold,proceeds",,売上,(うりあげ),[sound:売上.wav]
売り切れ,(うりきれ),sold-out,,[sound:売り切れ.wav]
sold-out,,売り切れ,(うりきれ),[sound:売り切れ.wav]
売り切れる,(うりきれる),to be sold out,,[sound:売り切れる.wav]
to be sold out,,売り切れる,(うりきれる),[sound:売り切れる.wav]
売行き,(うれゆき),sales,,[sound:売行き.wav]
sales,,売行き,(うれゆき),[sound:売行き.wav]
うろうろ,,"loiteringly,aimless wandering",,[sound:うろうろ.wav]
"loiteringly,aimless wandering",,うろうろ,,[sound:うろうろ.wav]
運河,(うんが),"canal,waterway",,[sound:運河.wav]
"canal,waterway",,運河,(うんが),[sound:運河.wav]
うんと,,"a great deal,very much",,[sound:うんと.wav]
"a great deal,very much",,うんと,,[sound:うんと.wav]
英文,(えいぶん),sentence in English,,[sound:英文.wav]
sentence in English,,英文,(えいぶん),[sound:英文.wav]
英和,(えいわ),English-Japanese (e.g. dictionary),,[sound:英和.wav]
English-Japanese (e.g. dictionary),,英和,(えいわ),[sound:英和.wav]
ええと,,"let me see,well,er....",,[sound:ええと.wav]
"let me see,well,er....",,ええと,,[sound:ええと.wav]
液体,(えきたい),"liquid,fluid",,[sound:液体.wav]
"liquid,fluid",,液体,(えきたい),[sound:液体.wav]
エチケット,,etiquette,,[sound:エチケット.wav]
etiquette,,エチケット,,[sound:エチケット.wav]
絵の具,(えのぐ),"colors,paints",,[sound:絵の具.wav]
"colors,paints",,絵の具,(えのぐ),[sound:絵の具.wav]
エプロン,,apron,,[sound:エプロン.wav]
apron,,エプロン,,[sound:エプロン.wav]
偉い,(えらい),"great,celebrated,eminent,terrible,awful,famous,remarkable,excellent",,[sound:偉い.wav]
"great,celebrated,eminent,terrible,awful,famous,remarkable,excellent",,偉い,(えらい),[sound:偉い.wav]
宴会,(えんかい),"party,banquet",,[sound:宴会.wav]
"party,banquet",,宴会,(えんかい),[sound:宴会.wav]
園芸,(えんげい),"horticulture,gardening",,[sound:園芸.wav]
"horticulture,gardening",,園芸,(えんげい),[sound:園芸.wav]
演劇,(えんげき),play (theatrical),,[sound:演劇.wav]
play (theatrical),,演劇,(えんげき),[sound:演劇.wav]
円周,(えんしゅう),circumference,,[sound:円周.wav]
circumference,,円周,(えんしゅう),[sound:円周.wav]
遠足,(えんそく),"trip,hike,picnic",,[sound:遠足.wav]
"trip,hike,picnic",,遠足,(えんそく),[sound:遠足.wav]
延長,(えんちょう),"extension,elongation,prolongation,lengthening",,[sound:延長.wav]
"extension,elongation,prolongation,lengthening",,延長,(えんちょう),[sound:延長.wav]
煙突,(えんとつ),chimney,,[sound:煙突.wav]
chimney,,煙突,(えんとつ),[sound:煙突.wav]
追い掛ける,(おいかける),"to chase or run after someone,to run down,to pursue",,[sound:追い掛ける.wav]
"to chase or run after someone,to run down,to pursue",,追い掛ける,(おいかける),[sound:追い掛ける.wav]
追い越す,(おいこす),"to pass (e.g. car),to outdistance,to outstrip",,[sound:追い越す.wav]
"to pass (e.g. car),to outdistance,to outstrip",,追い越す,(おいこす),[sound:追い越す.wav]
オイル,,"oil,engine oil,kerosene",,[sound:オイル.wav]
"oil,engine oil,kerosene",,オイル,,[sound:オイル.wav]
応援,(おうえん),"aid,assistance,help,reinforcement",,[sound:応援.wav]
"aid,assistance,help,reinforcement",,応援,(おうえん),[sound:応援.wav]
王女,(おうじょ),princess,,[sound:王女.wav]
princess,,王女,(おうじょ),[sound:王女.wav]
応ずる,(おうずる),"to answer,to respond,to meet,to satisfy,to accept",,[sound:応ずる.wav]
"to answer,to respond,to meet,to satisfy,to accept",,応ずる,(おうずる),[sound:応ずる.wav]
応接,(おうせつ),reception,,[sound:応接.wav]
reception,,応接,(おうせつ),[sound:応接.wav]
応対,(おうたい),"receiving,dealing with",,[sound:応対.wav]
"receiving,dealing with",,応対,(おうたい),[sound:応対.wav]
往復,(おうふく),"(col) round trip,coming and going,return ticket",,[sound:往復.wav]
"(col) round trip,coming and going,return ticket",,往復,(おうふく),[sound:往復.wav]
欧米,(おうべい),"Europe and America,the West",,[sound:欧米.wav]
"Europe and America,the West",,欧米,(おうべい),[sound:欧米.wav]
応用,(おうよう),"application,put to practical use",,[sound:応用.wav]
"application,put to practical use",,応用,(おうよう),[sound:応用.wav]
オーケストラ,,orchestra,,[sound:オーケストラ.wav]
orchestra,,オーケストラ,,[sound:オーケストラ.wav]
おおざっぱ,,"rough (not precise),broad,sketchy",,[sound:おおざっぱ.wav]
"rough (not precise),broad,sketchy",,おおざっぱ,,[sound:おおざっぱ.wav]
大通り,(おおどおり),main street,,[sound:大通り.wav]
main street,,大通り,(おおどおり),[sound:大通り.wav]
オートメーション,,automation,,[sound:オートメーション.wav]
automation,,オートメーション,,[sound:オートメーション.wav]
オーバーコート,,,,[sound:オーバーコート.wav]
,,オーバーコート,,[sound:オーバーコート.wav]
大凡,(おおよそ),"about,roughly,as a rule,approximately",,[sound:大凡.wav]
"about,roughly,as a rule,approximately",,大凡,(おおよそ),[sound:大凡.wav]
お帰り,(おかえり),"return,welcome",,[sound:お帰り.wav]
"return,welcome",,お帰り,(おかえり),[sound:お帰り.wav]
おかけください,,,,[sound:おかけください.wav]
,,おかけください,,[sound:おかけください.wav]
おかげさまで,,"Thanks to god,thanks to you",,[sound:おかげさまで.wav]
"Thanks to god,thanks to you",,おかげさまで,,[sound:おかげさまで.wav]
おかず,,"side dish,accompaniment for rice dishes",,[sound:おかず.wav]
"side dish,accompaniment for rice dishes",,おかず,,[sound:おかず.wav]
拝む,(おがむ),"to worship,to beg,to make a supplication",,[sound:拝む.wav]
"to worship,to beg,to make a supplication",,拝む,(おがむ),[sound:拝む.wav]
お代わり,(おかわり),"second helping,another cup",,[sound:お代わり.wav]
"second helping,another cup",,お代わり,(おかわり),[sound:お代わり.wav]
補う,(おぎなう),to compensate for,,[sound:補う.wav]
to compensate for,,補う,(おぎなう),[sound:補う.wav]
おきのどくに,,,,[sound:おきのどくに.wav]
,,おきのどくに,,[sound:おきのどくに.wav]
屋外,(おくがい),outdoors,,[sound:屋外.wav]
outdoors,,屋外,(おくがい),[sound:屋外.wav]
おくさん,,"(hon) wife,your wife,madam",,[sound:おくさん.wav]
"(hon) wife,your wife,madam",,おくさん,,[sound:おくさん.wav]
送り仮名,(おくりがな),part of word written in kana,,[sound:送り仮名.wav]
part of word written in kana,,送り仮名,(おくりがな),[sound:送り仮名.wav]
元気でね,(げんきでね),,,[sound:元気でね.wav]
,,元気でね,(げんきでね),[sound:元気でね.wav]
怠る,(おこたる),"to neglect,to be off guard,to be feeling better",,[sound:怠る.wav]
"to neglect,to be off guard,to be feeling better",,怠る,(おこたる),[sound:怠る.wav]
押える,(おさえる),"to stop,to restrain,to seize,to repress,to suppress,to press down",,[sound:押える.wav]
"to stop,to restrain,to seize,to repress,to suppress,to press down",,押える,(おさえる),[sound:押える.wav]
おさきに,,"before,ahead,previously",,[sound:おさきに.wav]
"before,ahead,previously",,おさきに,,[sound:おさきに.wav]
納める,(おさめる),"to obtain,to reap,to pay,to supply,to accept",,[sound:納める.wav]
"to obtain,to reap,to pay,to supply,to accept",,納める,(おさめる),[sound:納める.wav]
治める,(おさめる),"(1) to govern,to manage,(2) to subdue",,[sound:治める.wav]
"(1) to govern,to manage,(2) to subdue",,治める,(おさめる),[sound:治める.wav]
惜しい,(おしい),"regrettable,disappointing,precious",,[sound:惜しい.wav]
"regrettable,disappointing,precious",,惜しい,(おしい),[sound:惜しい.wav]
御辞儀,(おじぎ),bow,,[sound:御辞儀.wav]
bow,,御辞儀,(おじぎ),[sound:御辞儀.wav]
伯父さん,(おじさん),"middle-aged gentleman,uncle",,[sound:伯父さん.wav]
"middle-aged gentleman,uncle",,伯父さん,(おじさん),[sound:伯父さん.wav]
小父さん,(おじさん),"middle-aged gentleman,uncle",,[sound:小父さん.wav]
"middle-aged gentleman,uncle",,小父さん,(おじさん),[sound:小父さん.wav]
叔父さん,(おじさん),"middle-aged gentleman,uncle",,[sound:叔父さん.wav]
"middle-aged gentleman,uncle",,叔父さん,(おじさん),[sound:叔父さん.wav]
おしゃれ,,"smartly dressed,someone smartly dressed,fashion-conscious",,[sound:おしゃれ.wav]
"smartly dressed,someone smartly dressed,fashion-conscious",,おしゃれ,,[sound:おしゃれ.wav]
おじゃまします,,Excuse me for disturbing you,,[sound:おじゃまします.wav]
Excuse me for disturbing you,,おじゃまします,,[sound:おじゃまします.wav]
教わる,(おそわる),to be taught,,[sound:教わる.wav]
to be taught,,教わる,(おそわる),[sound:教わる.wav]
おだいじに,,Take care of yourself,,[sound:おだいじに.wav]
Take care of yourself,,おだいじに,,[sound:おだいじに.wav]
落着く,(おちつく),"to calm down,to settle down",,[sound:落着く.wav]
"to calm down,to settle down",,落着く,(おちつく),[sound:落着く.wav]
御手洗,(みたらし),font of purifying water placed at entrance of shrine,,[sound:御手洗.wav]
font of purifying water placed at entrance of shrine,,御手洗,(みたらし),[sound:御手洗.wav]
お出掛け,(おでかけ),,,[sound:お出掛け.wav]
,,お出掛け,(おでかけ),[sound:お出掛け.wav]
お手伝いさん,(おてつだいさん),maid,,[sound:お手伝いさん.wav]
maid,,お手伝いさん,(おてつだいさん),[sound:お手伝いさん.wav]
おどかす,,"to threaten,to coerce",,[sound:おどかす.wav]
"to threaten,to coerce",,おどかす,,[sound:おどかす.wav]
落し物,(おとしもの),lost property,,[sound:落し物.wav]
lost property,,落し物,(おとしもの),[sound:落し物.wav]
おととい,,day before yesterday,,[sound:おととい.wav]
day before yesterday,,おととい,,[sound:おととい.wav]
おととし,,year before last,,[sound:おととし.wav]
year before last,,おととし,,[sound:おととし.wav]
おとなしい,,"obedient,docile,quiet",,[sound:おとなしい.wav]
"obedient,docile,quiet",,おとなしい,,[sound:おとなしい.wav]
驚かす,(おどろかす),"to surprise,to frighten,to create a stir",,[sound:驚かす.wav]
"to surprise,to frighten,to create a stir",,驚かす,(おどろかす),[sound:驚かす.wav]
おねがいします,,please,,[sound:おねがいします.wav]
please,,おねがいします,,[sound:おねがいします.wav]
各々,(おのおの),"each,every,either,respectively,severally",,[sound:各々.wav]
"each,every,either,respectively,severally",,各々,(おのおの),[sound:各々.wav]
叔母さん,(おばさん),"(1) aunt,(2) middle-aged lady",,[sound:叔母さん.wav]
"(1) aunt,(2) middle-aged lady",,叔母さん,(おばさん),[sound:叔母さん.wav]
おはよう,,(abbr) Good morning,,[sound:おはよう.wav]
(abbr) Good morning,,おはよう,,[sound:おはよう.wav]
お参り,(おまいり),"worship,shrine visit",,[sound:お参り.wav]
