ftitle,fsubtitle,btitle,bsubtitle,audio
あいかわらず,,"as ever,as usual,the same",,[sound:あいかわらず.wav]
"as ever,as usual,the same",,あいかわらず,,[sound:あいかわらず.wav]
アイデア,,idea,,[sound:アイデア.wav]
idea,,アイデア,,[sound:アイデア.wav]
アイディア,,idea,,[sound:アイディア.wav]
idea,,アイディア,,[sound:アイディア.wav]
曖昧,(あいまい),"vague,ambiguous",,[sound:曖昧.wav]
"vague,ambiguous",,曖昧,(あいまい),[sound:曖昧.wav]
遭う,(あう),"to meet,to encounter (undesirable nuance)",,[sound:遭う.wav]
"to meet,to encounter (undesirable nuance)",,遭う,(あう),[sound:遭う.wav]
扇ぐ,(あおぐ),"to fan,to flap",,[sound:扇ぐ.wav]
"to fan,to flap",,扇ぐ,(あおぐ),[sound:扇ぐ.wav]
青白い,(あおじろい),"pale,pallid",,[sound:青白い.wav]
"pale,pallid",,青白い,(あおじろい),[sound:青白い.wav]
あかんぼう,,baby,,[sound:あかんぼう.wav]
baby,,あかんぼう,,[sound:あかんぼう.wav]
明き,(あき),"room,time to spare,emptiness",,[sound:明き.wav]
"room,time to spare,emptiness",,明き,(あき),[sound:明き.wav]
あきれる,,"to be amazed,to be shocked",,[sound:あきれる.wav]
"to be amazed,to be shocked",,あきれる,,[sound:あきれる.wav]
アクセント,,accent,,[sound:アクセント.wav]
accent,,アクセント,,[sound:アクセント.wav]
欠伸,(あくび),yawn,,[sound:欠伸.wav]
yawn,,欠伸,(あくび),[sound:欠伸.wav]
飽くまで,(あくまで),"to the end,to the last,stubbornly",,[sound:飽くまで.wav]
"to the end,to the last,stubbornly",,飽くまで,(あくまで),[sound:飽くまで.wav]
明け方,(あけがた),dawn,,[sound:明け方.wav]
dawn,,明け方,(あけがた),[sound:明け方.wav]
揚げる,(あげる),"to lift,to fry",,[sound:揚げる.wav]
"to lift,to fry",,揚げる,(あげる),[sound:揚げる.wav]
挙げる,(あげる),"to raise,to fly",,[sound:挙げる.wav]
"to raise,to fly",,挙げる,(あげる),[sound:挙げる.wav]
憧れる,(あこがれる),"to long for,to yearn after,to admire",,[sound:憧れる.wav]
"to long for,to yearn after,to admire",,憧れる,(あこがれる),[sound:憧れる.wav]
足跡,(あしあと),footprints,,[sound:足跡.wav]
footprints,,足跡,(あしあと),[sound:足跡.wav]
味わう,(あじわう),"to taste,to savor,to relish",,[sound:味わう.wav]
"to taste,to savor,to relish",,味わう,(あじわう),[sound:味わう.wav]
預かる,(あずかる),"to keep in custody,to receive on deposit,to take charge of",,[sound:預かる.wav]
"to keep in custody,to receive on deposit,to take charge of",,預かる,(あずかる),[sound:預かる.wav]
暖まる,(あたたまる),"to warm up,to get warm",,[sound:暖まる.wav]
"to warm up,to get warm",,暖まる,(あたたまる),[sound:暖まる.wav]
暖める,(あたためる),"to warm,to heat",,[sound:暖める.wav]
"to warm,to heat",,暖める,(あたためる),[sound:暖める.wav]
あたりまえ,,"usual,common,ordinary",,[sound:あたりまえ.wav]
"usual,common,ordinary",,あたりまえ,,[sound:あたりまえ.wav]
あちらこちら,,here and there,,[sound:あちらこちら.wav]
here and there,,あちらこちら,,[sound:あちらこちら.wav]
厚かましい,(あつかましい),"impudent,shameless,brazen",,[sound:厚かましい.wav]
"impudent,shameless,brazen",,厚かましい,(あつかましい),[sound:厚かましい.wav]
圧縮,(あっしゅく),"compression,condensation,pressure",,[sound:圧縮.wav]
"compression,condensation,pressure",,圧縮,(あっしゅく),[sound:圧縮.wav]
宛名,(あてな),"address,direction",,[sound:宛名.wav]
"address,direction",,宛名,(あてな),[sound:宛名.wav]
あてはまる,,"to be applicable,to come under (a category),to fulfill",,[sound:あてはまる.wav]
"to be applicable,to come under (a category),to fulfill",,あてはまる,,[sound:あてはまる.wav]
あてはめる,,"to apply,to adapt",,[sound:あてはめる.wav]
"to apply,to adapt",,あてはめる,,[sound:あてはめる.wav]
暴れる,(あばれる),"to act violently,to rage,to struggle,to be riotous",,[sound:暴れる.wav]
"to act violently,to rage,to struggle,to be riotous",,暴れる,(あばれる),[sound:暴れる.wav]
脂,(あぶら),"fat,tallow,lard",,[sound:脂.wav]
"fat,tallow,lard",,脂,(あぶら),[sound:脂.wav]
あぶる,,to scorch,,[sound:あぶる.wav]
to scorch,,あぶる,,[sound:あぶる.wav]
あふれる,,"to flood,to overflow,to brim over",,[sound:あふれる.wav]
"to flood,to overflow,to brim over",,あふれる,,[sound:あふれる.wav]
雨戸,(あまど),sliding storm door,,[sound:雨戸.wav]
sliding storm door,,雨戸,(あまど),[sound:雨戸.wav]
甘やかす,(あまやかす),"to pamper,to spoil",,[sound:甘やかす.wav]
"to pamper,to spoil",,甘やかす,(あまやかす),[sound:甘やかす.wav]
余る,(あまる),"to remain,to be left over,to be in excess,to be too many",,[sound:余る.wav]
"to remain,to be left over,to be in excess,to be too many",,余る,(あまる),[sound:余る.wav]
編物,(あみもの),"knitting,web",,[sound:編物.wav]
"knitting,web",,編物,(あみもの),[sound:編物.wav]
編む,(あむ),to knit,,[sound:編む.wav]
to knit,,編む,(あむ),[sound:編む.wav]
危うい,(あやうい),"dangerous,critical,grave",,[sound:危うい.wav]
"dangerous,critical,grave",,危うい,(あやうい),[sound:危うい.wav]
怪しい,(あやしい),"suspicious,dubious,doubtful",,[sound:怪しい.wav]
"suspicious,dubious,doubtful",,怪しい,(あやしい),[sound:怪しい.wav]
荒い,(あらい),"rough,rude,wild",,[sound:荒い.wav]
"rough,rude,wild",,荒い,(あらい),[sound:荒い.wav]
粗い,(あらい),"coarse,rough",,[sound:粗い.wav]
"coarse,rough",,粗い,(あらい),[sound:粗い.wav]
あらすじ,,"outline,summary",,[sound:あらすじ.wav]
"outline,summary",,あらすじ,,[sound:あらすじ.wav]
争う,(あらそう),"to dispute,to argue,to be at variance,to compete",,[sound:争う.wav]
"to dispute,to argue,to be at variance,to compete",,争う,(あらそう),[sound:争う.wav]
改めて,(あらためて),"another time,again,over again,anew,formally",,[sound:改めて.wav]
"another time,again,over again,anew,formally",,改めて,(あらためて),[sound:改めて.wav]
改める,(あらためる),"to change,to alter,to reform,to revise",,[sound:改める.wav]
"to change,to alter,to reform,to revise",,改める,(あらためる),[sound:改める.wav]
著す,(あらわす),"to write,to publish",,[sound:著す.wav]
"to write,to publish",,著す,(あらわす),[sound:著す.wav]
有難い,(ありがたい),"grateful,thankful,welcome,appreciated,evoking gratitude",,[sound:有難い.wav]
"grateful,thankful,welcome,appreciated,evoking gratitude",,有難い,(ありがたい),[sound:有難い.wav]
在る,(ある),"to live,to be",,[sound:在る.wav]
"to live,to be",,在る,(ある),[sound:在る.wav]
あれこれ,,"one thing or another,this and that,this or that",,[sound:あれこれ.wav]
"one thing or another,this and that,this or that",,あれこれ,,[sound:あれこれ.wav]
あわただしい,,"busy,hurried,confused,flurried",,[sound:あわただしい.wav]
"busy,hurried,confused,flurried",,あわただしい,,[sound:あわただしい.wav]
あわてる,,to become confused,,[sound:あわてる.wav]
to become confused,,あわてる,,[sound:あわてる.wav]
安易,(あんい),easy-going,,[sound:安易.wav]
easy-going,,安易,(あんい),[sound:安易.wav]
案外,(あんがい),unexpectedly,,[sound:案外.wav]
unexpectedly,,案外,(あんがい),[sound:案外.wav]
アンテナ,,antenna,,[sound:アンテナ.wav]
antenna,,アンテナ,,[sound:アンテナ.wav]
言い出す,(いいだす),"to start talking,to speak,to tell,to propose,to suggest,to break the ice",,[sound:言い出す.wav]
"to start talking,to speak,to tell,to propose,to suggest,to break the ice",,言い出す,(いいだす),[sound:言い出す.wav]
言い付ける,(いいつける),"to tell,to tell on (someone),to order",,[sound:言い付ける.wav]
"to tell,to tell on (someone),to order",,言い付ける,(いいつける),[sound:言い付ける.wav]
意義,(いぎ),"meaning,significance",,[sound:意義.wav]
"meaning,significance",,意義,(いぎ),[sound:意義.wav]
生き生き,(いきいき),"vividly,lively",,[sound:生き生き.wav]
"vividly,lively",,生き生き,(いきいき),[sound:生き生き.wav]
いきなり,,"(uk) abruptly,suddenly,all of a sudden,without warning",,[sound:いきなり.wav]
"(uk) abruptly,suddenly,all of a sudden,without warning",,いきなり,,[sound:いきなり.wav]
育児,(いくじ),"childcare,nursing,upbringing",,[sound:育児.wav]
"childcare,nursing,upbringing",,育児,(いくじ),[sound:育児.wav]
幾分,(いくぶん),somewhat,,[sound:幾分.wav]
somewhat,,幾分,(いくぶん),[sound:幾分.wav]
生け花,(いけばな),(1) flower arrangement,,[sound:生け花.wav]
(1) flower arrangement,,生け花,(いけばな),[sound:生け花.wav]
以後,(いご),"after this,from now on,hereafter,thereafter",,[sound:以後.wav]
"after this,from now on,hereafter,thereafter",,以後,(いご),[sound:以後.wav]
以降,(いこう),"on and after,hereafter,thereafter",,[sound:以降.wav]
"on and after,hereafter,thereafter",,以降,(いこう),[sound:以降.wav]
イコール,,equal,,[sound:イコール.wav]
equal,,イコール,,[sound:イコール.wav]
勇ましい,(いさましい),"brave,valiant,gallant,courageous",,[sound:勇ましい.wav]
"brave,valiant,gallant,courageous",,勇ましい,(いさましい),[sound:勇ましい.wav]
衣食住,(いしょくじゅう),"necessities of life (food, clothing, etc.)",,[sound:衣食住.wav]
"necessities of life (food, clothing, etc.)",,衣食住,(いしょくじゅう),[sound:衣食住.wav]
意地悪,(いじわる),"malicious,ill-tempered,unkind",,[sound:意地悪.wav]
"malicious,ill-tempered,unkind",,意地悪,(いじわる),[sound:意地悪.wav]
いちいち,,"one by one,separately",,[sound:いちいち.wav]
"one by one,separately",,いちいち,,[sound:いちいち.wav]
一応,(いちおう),"once,tentatively,in outline,for the time being",,[sound:一応.wav]
"once,tentatively,in outline,for the time being",,一応,(いちおう),[sound:一応.wav]
一段,(いちだん),"greater,more,further,still more",,[sound:一段.wav]
"greater,more,further,still more",,一段,(いちだん),[sound:一段.wav]
一流,(いちりゅう),"first class,top grade,foremost,top-notch",,[sound:一流.wav]
"first class,top grade,foremost,top-notch",,一流,(いちりゅう),[sound:一流.wav]
佚,(いつ),"be lost,peace,hide,mistake,beautiful,in turn",,[sound:佚.wav]
"be lost,peace,hide,mistake,beautiful,in turn",,佚,(いつ),[sound:佚.wav]
一昨日,(いっさくじつ),day before yesterday,,[sound:一昨日.wav]
day before yesterday,,一昨日,(いっさくじつ),[sound:一昨日.wav]
一昨年,(いっさくねん),year before last,,[sound:一昨年.wav]
year before last,,一昨年,(いっさくねん),[sound:一昨年.wav]
一斉,(いっせい),"simultaneous,all at once",,[sound:一斉.wav]
"simultaneous,all at once",,一斉,(いっせい),[sound:一斉.wav]
一旦,(いったん),"once,for a moment,one morning,temporarily",,[sound:一旦.wav]
"once,for a moment,one morning,temporarily",,一旦,(いったん),[sound:一旦.wav]
一定,(いってい),"fixed,settled,definite",,[sound:一定.wav]
"fixed,settled,definite",,一定,(いってい),[sound:一定.wav]
いってらっしゃい,,,,[sound:いってらっしゃい.wav]
,,いってらっしゃい,,[sound:いってらっしゃい.wav]
いってまいります,,,,[sound:いってまいります.wav]
,,いってまいります,,[sound:いってまいります.wav]
いつのまにか,,"before one knows,unnoticed,unawares",,[sound:いつのまにか.wav]
"before one knows,unnoticed,unawares",,いつのまにか,,[sound:いつのまにか.wav]
移転,(いてん),"moving,transfer,demise",,[sound:移転.wav]
"moving,transfer,demise",,移転,(いてん),[sound:移転.wav]
井戸,(いど),water well,,[sound:井戸.wav]
water well,,井戸,(いど),[sound:井戸.wav]
緯度,(いど),latitude (nav.),,[sound:緯度.wav]
latitude (nav.),,緯度,(いど),[sound:緯度.wav]
従姉妹,(いとこ),cousin (female),,[sound:従姉妹.wav]
cousin (female),,従姉妹,(いとこ),[sound:従姉妹.wav]
威張る,(いばる),"to be proud,to swagger",,[sound:威張る.wav]
"to be proud,to swagger",,威張る,(いばる),[sound:威張る.wav]
嫌がる,(いやがる),"to hate,to dislike",,[sound:嫌がる.wav]
"to hate,to dislike",,嫌がる,(いやがる),[sound:嫌がる.wav]
いよいよ,,"more and more,all the more,increasingly,at last,beyond doubt",,[sound:いよいよ.wav]
"more and more,all the more,increasingly,at last,beyond doubt",,いよいよ,,[sound:いよいよ.wav]
煎る,(いる),"to parch,to fry",,[sound:煎る.wav]
"to parch,to fry",,煎る,(いる),[sound:煎る.wav]
炒る,(いる),,,[sound:炒る.wav]
,,炒る,(いる),[sound:炒る.wav]
入れ物,(いれもの),"container,case,receptacle",,[sound:入れ物.wav]
"container,case,receptacle",,入れ物,(いれもの),[sound:入れ物.wav]
インキ,,ink,,[sound:インキ.wav]
ink,,インキ,,[sound:インキ.wav]
インタビュー,,interview,,[sound:インタビュー.wav]
interview,,インタビュー,,[sound:インタビュー.wav]
引力,(いんりょく),gravity,,[sound:引力.wav]
gravity,,引力,(いんりょく),[sound:引力.wav]
ウーマン,,woman,,[sound:ウーマン.wav]
woman,,ウーマン,,[sound:ウーマン.wav]
ウール,,wool,,[sound:ウール.wav]
wool,,ウール,,[sound:ウール.wav]
ウエートレス,,waitress,,[sound:ウエートレス.wav]
waitress,,ウエートレス,,[sound:ウエートレス.wav]
植木,(うえき),"garden shrubs,trees,potted plant",,[sound:植木.wav]
"garden shrubs,trees,potted plant",,植木,(うえき),[sound:植木.wav]
飢える,(うえる),to starve,,[sound:飢える.wav]
to starve,,飢える,(うえる),[sound:飢える.wav]
浮ぶ,(うかぶ),"to float,to rise to surface,to come to mind",,[sound:浮ぶ.wav]
"to float,to rise to surface,to come to mind",,浮ぶ,(うかぶ),[sound:浮ぶ.wav]
浮かべる,(うかべる),"to float,to express,to look (sad, glad)",,[sound:浮かべる.wav]
"to float,to express,to look (sad, glad)",,浮かべる,(うかべる),[sound:浮かべる.wav]
浮く,(うく),"to float,to become merry,to become loose",,[sound:浮く.wav]
"to float,to become merry,to become loose",,浮く,(うく),[sound:浮く.wav]
承る,(うけたまわる),"(hum) to hear,to be told,to know",,[sound:承る.wav]
"(hum) to hear,to be told,to know",,承る,(うけたまわる),[sound:承る.wav]
受取,(うけとり),receipt,,[sound:受取.wav]
receipt,,受取,(うけとり),[sound:受取.wav]
受け持つ,(うけもつ),to take (be in) charge of,,[sound:受け持つ.wav]
to take (be in) charge of,,受け持つ,(うけもつ),[sound:受け持つ.wav]
薄暗い,(うすぐらい),"dim,gloomy",,[sound:薄暗い.wav]
"dim,gloomy",,薄暗い,(うすぐらい),[sound:薄暗い.wav]
薄める,(うすめる),"to dilute,to water down",,[sound:薄める.wav]
"to dilute,to water down",,薄める,(うすめる),[sound:薄める.wav]
打合せ,(うちあわせ),"business meeting,previous arrangement,appointment",,[sound:打合せ.wav]
"business meeting,previous arrangement,appointment",,打合せ,(うちあわせ),[sound:打合せ.wav]
打ち消す,(うちけす),"to deny,to negate,to contradict",,[sound:打ち消す.wav]
"to deny,to negate,to contradict",,打ち消す,(うちけす),[sound:打ち消す.wav]
討つ,(うつ),"to attack,to avenge",,[sound:討つ.wav]
"to attack,to avenge",,討つ,(うつ),[sound:討つ.wav]
うっかり,,"carelessly,thoughtlessly,inadvertently",,[sound:うっかり.wav]
"carelessly,thoughtlessly,inadvertently",,うっかり,,[sound:うっかり.wav]
映す,(うつす),"to project,to reflect,to cast (shadow)",,[sound:映す.wav]
"to project,to reflect,to cast (shadow)",,映す,(うつす),[sound:映す.wav]
写る,(うつる),"to be photographed,to be projected",,[sound:写る.wav]
"to be photographed,to be projected",,写る,(うつる),[sound:写る.wav]
映る,(うつる),"to be reflected,to harmonize with,to come out (photo)",,[sound:映る.wav]
"to be reflected,to harmonize with,to come out (photo)",,映る,(うつる),[sound:映る.wav]
うどん,,noodles (Japanese),,[sound:うどん.wav]
noodles (Japanese),,うどん,,[sound:うどん.wav]
有無,(うむ),"yes or no,existence,flag indicator (comp),presence or absence marker",,[sound:有無.wav]
"yes or no,existence,flag indicator (comp),presence or absence marker",,有無,(うむ),[sound:有無.wav]
埋める,(うめる),"to bury,to fill up,to fill (a seat, a vacant position)",,[sound:埋める.wav]
"to bury,to fill up,to fill (a seat, a vacant position)",,埋める,(うめる),[sound:埋める.wav]
敬う,(うやまう),"to show respect,to honour",,[sound:敬う.wav]
"to show respect,to honour",,敬う,(うやまう),[sound:敬う.wav]
裏返す,(うらがえす),"to turn inside out,to turn (something) over",,[sound:裏返す.wav]
"to turn inside out,to turn (something) over",,裏返す,(うらがえす),[sound:裏返す.wav]
裏口,(うらぐち),"backdoor,rear entrance",,[sound:裏口.wav]
