ftitle,fsubtitle,btitle,bsubtitle,audio
権威,(けんい),"authority, power, influence",,[sound:権威.wav]
"authority, power, influence",,権威,(けんい),[sound:権威.wav]
兼業,(けんぎょう),"side line, second business",,[sound:兼業.wav]
"side line, second business",,兼業,(けんぎょう),[sound:兼業.wav]
権限,(けんげん),"power, authority, jurisdiction",,[sound:権限.wav]
"power, authority, jurisdiction",,権限,(けんげん),[sound:権限.wav]
健在,(けんざい),"in good health, well",,[sound:健在.wav]
"in good health, well",,健在,(けんざい),[sound:健在.wav]
懸賞,(けんしょう),"offering prizes, winning, reward",,[sound:懸賞.wav]
"offering prizes, winning, reward",,懸賞,(けんしょう),[sound:懸賞.wav]
検事,(けんじ),public prosecutor,,[sound:検事.wav]
public prosecutor,,検事,(けんじ),[sound:検事.wav]
健全,(けんぜん),"health, soundness, wholesome",,[sound:健全.wav]
"health, soundness, wholesome",,健全,(けんぜん),[sound:健全.wav]
見地,(けんち),point of view,,[sound:見地.wav]
point of view,,見地,(けんち),[sound:見地.wav]
賢明,(けんめい),"wisdom, intelligence, prudence",,[sound:賢明.wav]
"wisdom, intelligence, prudence",,賢明,(けんめい),[sound:賢明.wav]
倹約,(けんやく),"thrift, economy, frugality",,[sound:倹約.wav]
"thrift, economy, frugality",,倹約,(けんやく),[sound:倹約.wav]
兼用,(けんよう),"multi-use, combined use, combination, serving two purposes",,[sound:兼用.wav]
"multi-use, combined use, combination, serving two purposes",,兼用,(けんよう),[sound:兼用.wav]
権力,(けんりょく),"power, authority, influence",,[sound:権力.wav]
"power, authority, influence",,権力,(けんりょく),[sound:権力.wav]
劇団,(げきだん),"troupe, theatrical company",,[sound:劇団.wav]
"troupe, theatrical company",,劇団,(げきだん),[sound:劇団.wav]
激励,(げきれい),encouragement,,[sound:激励.wav]
encouragement,,激励,(げきれい),[sound:激励.wav]
月謝,(げっしゃ),monthly tuition fee,,[sound:月謝.wav]
monthly tuition fee,,月謝,(げっしゃ),[sound:月謝.wav]
げっそり,,"being disheartened, losing weight",,[sound:げっそり.wav]
"being disheartened, losing weight",,げっそり,,[sound:げっそり.wav]
月賦,(げっぷ),monthly installment,,[sound:月賦.wav]
monthly installment,,月賦,(げっぷ),[sound:月賦.wav]
下痢,(げり),diarrhoea,,[sound:下痢.wav]
diarrhoea,,下痢,(げり),[sound:下痢.wav]
原,(げん),"original, primitive, primary, fundamental, raw",,[sound:原.wav]
"original, primitive, primary, fundamental, raw",,原,(げん),[sound:原.wav]
原形,(げんけい),"original form, base form",,[sound:原形.wav]
"original form, base form",,原形,(げんけい),[sound:原形.wav]
現行,(げんこう),"present, current, in operation",,[sound:現行.wav]
"present, current, in operation",,現行,(げんこう),[sound:現行.wav]
原作,(げんさく),original work,,[sound:原作.wav]
original work,,原作,(げんさく),[sound:原作.wav]
原子,(げんし),atom,,[sound:原子.wav]
atom,,原子,(げんし),[sound:原子.wav]
元首,(げんしゅ),"ruler, sovereign",,[sound:元首.wav]
"ruler, sovereign",,元首,(げんしゅ),[sound:元首.wav]
原書,(げんしょ),original document,,[sound:原書.wav]
original document,,原書,(げんしょ),[sound:原書.wav]
減少,(げんしょう),"decrease, reduction, decline",,[sound:減少.wav]
"decrease, reduction, decline",,減少,(げんしょう),[sound:減少.wav]
現場,(げんじょう),"actual spot, scene, scene of the crime",,[sound:現場.wav]
"actual spot, scene, scene of the crime",,現場,(げんじょう),[sound:現場.wav]
元素,(げんそ),chemical element,,[sound:元素.wav]
chemical element,,元素,(げんそ),[sound:元素.wav]
原則,(げんそく),"principle, general rule",,[sound:原則.wav]
"principle, general rule",,原則,(げんそく),[sound:原則.wav]
現像,(げんぞう),developing (film),,[sound:現像.wav]
developing (film),,現像,(げんぞう),[sound:現像.wav]
現地,(げんち),"actual place, local",,[sound:現地.wav]
"actual place, local",,現地,(げんち),[sound:現地.wav]
限定,(げんてい),"limit, restriction",,[sound:限定.wav]
"limit, restriction",,限定,(げんてい),[sound:限定.wav]
原点,(げんてん),"origin (coordinates), starting point",,[sound:原点.wav]
"origin (coordinates), starting point",,原点,(げんてん),[sound:原点.wav]
原典,(げんてん),original (text),,[sound:原典.wav]
original (text),,原典,(げんてん),[sound:原典.wav]
減点,(げんてん),"subtract, give a demerit",,[sound:減点.wav]
"subtract, give a demerit",,減点,(げんてん),[sound:減点.wav]
原爆,(げんばく),atomic bomb,,[sound:原爆.wav]
atomic bomb,,原爆,(げんばく),[sound:原爆.wav]
原文,(げんぶん),"the text, original",,[sound:原文.wav]
"the text, original",,原文,(げんぶん),[sound:原文.wav]
厳密,(げんみつ),"strict, close",,[sound:厳密.wav]
"strict, close",,厳密,(げんみつ),[sound:厳密.wav]
原油,(げんゆ),crude oil,,[sound:原油.wav]
crude oil,,原油,(げんゆ),[sound:原油.wav]
言論,(げんろん),discussion,,[sound:言論.wav]
discussion,,言論,(げんろん),[sound:言論.wav]
故,(こ),the late (deceased),,[sound:故.wav]
the late (deceased),,故,(こ),[sound:故.wav]
戸,(こ),counter for houses,,[sound:戸.wav]
counter for houses,,戸,(こ),[sound:戸.wav]
児,(こ),"child, the young of animals",,[sound:児.wav]
"child, the young of animals",,児,(こ),[sound:児.wav]
巨,(きょ),"big, large, great",,[sound:巨.wav]
"big, large, great",,巨,(きょ),[sound:巨.wav]
恋する,(こいする),"to fall in love with, to love",,[sound:恋する.wav]
"to fall in love with, to love",,恋する,(こいする),[sound:恋する.wav]
溝,(こう),"10^38, hundred undecillion (American), hundred sextillion (British)",,[sound:溝.wav]
"10^38, hundred undecillion (American), hundred sextillion (British)",,溝,(こう),[sound:溝.wav]
校,(こう),"-school, proof",,[sound:校.wav]
"-school, proof",,校,(こう),[sound:校.wav]
好意,(こうい),"good will, favor, courtesy",,[sound:好意.wav]
"good will, favor, courtesy",,好意,(こうい),[sound:好意.wav]
行為,(こうい),"act, deed, conduct",,[sound:行為.wav]
"act, deed, conduct",,行為,(こうい),[sound:行為.wav]
行員,(こういん),bank clerk,,[sound:行員.wav]
bank clerk,,行員,(こういん),[sound:行員.wav]
交易,(こうえき),"trade, commerce",,[sound:交易.wav]
"trade, commerce",,交易,(こうえき),[sound:交易.wav]
公演,(こうえん),public performance,,[sound:公演.wav]
public performance,,公演,(こうえん),[sound:公演.wav]
後悔,(こうかい),"regret, repentance",,[sound:後悔.wav]
"regret, repentance",,後悔,(こうかい),[sound:後悔.wav]
公開,(こうかい),presenting to the public,,[sound:公開.wav]
presenting to the public,,公開,(こうかい),[sound:公開.wav]
航海,(こうかい),"sail, voyage",,[sound:航海.wav]
"sail, voyage",,航海,(こうかい),[sound:航海.wav]
工学,(こうがく),engineering,,[sound:工学.wav]
engineering,,工学,(こうがく),[sound:工学.wav]
皇居,(こうきょ),Imperial Palace,,[sound:皇居.wav]
Imperial Palace,,皇居,(こうきょ),[sound:皇居.wav]
好況,(こうきょう),"prosperous conditions, healthy economy",,[sound:好況.wav]
"prosperous conditions, healthy economy",,好況,(こうきょう),[sound:好況.wav]
抗議,(こうぎ),"protest, objection",,[sound:抗議.wav]
"protest, objection",,抗議,(こうぎ),[sound:抗議.wav]
鉱業,(こうぎょう),mining industry,,[sound:鉱業.wav]
mining industry,,鉱業,(こうぎょう),[sound:鉱業.wav]
興業,(こうぎょう),industrial enterprise,,[sound:興業.wav]
industrial enterprise,,興業,(こうぎょう),[sound:興業.wav]
高原,(こうげん),"tableland, plateau",,[sound:高原.wav]
"tableland, plateau",,高原,(こうげん),[sound:高原.wav]
煌々,(こうこう),"brilliantly, brightly",,[sound:煌々.wav]
"brilliantly, brightly",,煌々,(こうこう),[sound:煌々.wav]
考古学,(こうこがく),archaeology,,[sound:考古学.wav]
archaeology,,考古学,(こうこがく),[sound:考古学.wav]
交互,(こうご),"mutual, reciprocal, alternate",,[sound:交互.wav]
"mutual, reciprocal, alternate",,交互,(こうご),[sound:交互.wav]
工作,(こうさく),"work, construction, handicraft, maneuvering",,[sound:工作.wav]
"work, construction, handicraft, maneuvering",,工作,(こうさく),[sound:工作.wav]
耕作,(こうさく),"cultivation, farming",,[sound:耕作.wav]
"cultivation, farming",,耕作,(こうさく),[sound:耕作.wav]
鉱山,(こうざん),mine (ore),,[sound:鉱山.wav]
mine (ore),,鉱山,(こうざん),[sound:鉱山.wav]
講習,(こうしゅう),"short course, training",,[sound:講習.wav]
"short course, training",,講習,(こうしゅう),[sound:講習.wav]
交渉,(こうしょう),"negotiations, discussions, connection",,[sound:交渉.wav]
"negotiations, discussions, connection",,交渉,(こうしょう),[sound:交渉.wav]
高尚,(こうしょう),"high, noble, refined, advanced",,[sound:高尚.wav]
"high, noble, refined, advanced",,高尚,(こうしょう),[sound:高尚.wav]
行進,(こうしん),"march, parade",,[sound:行進.wav]
"march, parade",,行進,(こうしん),[sound:行進.wav]
香辛料,(こうしんりょう),spices,,[sound:香辛料.wav]
spices,,香辛料,(こうしんりょう),[sound:香辛料.wav]
口述,(こうじゅつ),verbal statement,,[sound:口述.wav]
verbal statement,,口述,(こうじゅつ),[sound:口述.wav]
控除,(こうじょ),"subsidy, deduction",,[sound:控除.wav]
"subsidy, deduction",,控除,(こうじょ),[sound:控除.wav]
向上,(こうじょう),"elevation, rise, improvement, advancement, progress",,[sound:向上.wav]
"elevation, rise, improvement, advancement, progress",,向上,(こうじょう),[sound:向上.wav]
降水,(こうすい),"rainfall, precipitation",,[sound:降水.wav]
"rainfall, precipitation",,降水,(こうすい),[sound:降水.wav]
洪水,(こうずい),flood,,[sound:洪水.wav]
flood,,洪水,(こうずい),[sound:洪水.wav]
公然,(こうぜん),"open (e.g. secret), public, official",,[sound:公然.wav]
"open (e.g. secret), public, official",,公然,(こうぜん),[sound:公然.wav]
抗争,(こうそう),"dispute, resistance",,[sound:抗争.wav]
"dispute, resistance",,抗争,(こうそう),[sound:抗争.wav]
構想,(こうそう),"plan, plot, idea, conception",,[sound:構想.wav]
"plan, plot, idea, conception",,構想,(こうそう),[sound:構想.wav]
拘束,(こうそく),"restriction, restraint",,[sound:拘束.wav]
"restriction, restraint",,拘束,(こうそく),[sound:拘束.wav]
後退,(こうたい),"retreat, backspace (BS)",,[sound:後退.wav]
"retreat, backspace (BS)",,後退,(こうたい),[sound:後退.wav]
光沢,(こうたく),"brilliance, polish, lustre, glossy finish (of photographs)",,[sound:光沢.wav]
"brilliance, polish, lustre, glossy finish (of photographs)",,光沢,(こうたく),[sound:光沢.wav]
公団,(こうだん),public corporation,,[sound:公団.wav]
public corporation,,公団,(こうだん),[sound:公団.wav]
好調,(こうちょう),"favourable, promising, satisfactory, in good shape",,[sound:好調.wav]
"favourable, promising, satisfactory, in good shape",,好調,(こうちょう),[sound:好調.wav]
口頭,(こうとう),oral,,[sound:口頭.wav]
oral,,口頭,(こうとう),[sound:口頭.wav]
講読,(こうどく),"reading, translation",,[sound:講読.wav]
"reading, translation",,講読,(こうどく),[sound:講読.wav]
購読,(こうどく),subscription (e.g. magazine),,[sound:購読.wav]
subscription (e.g. magazine),,購読,(こうどく),[sound:購読.wav]
購入,(こうにゅう),"purchase, buy",,[sound:購入.wav]
"purchase, buy",,購入,(こうにゅう),[sound:購入.wav]
公認,(こうにん),"official recognition, authorization, licence, accreditation",,[sound:公認.wav]
"official recognition, authorization, licence, accreditation",,公認,(こうにん),[sound:公認.wav]
光熱費,(こうねつひ),cost of fuel and light,,[sound:光熱費.wav]
cost of fuel and light,,光熱費,(こうねつひ),[sound:光熱費.wav]
荒廃,(こうはい),ruin,,[sound:荒廃.wav]
ruin,,荒廃,(こうはい),[sound:荒廃.wav]
購買,(こうばい),"purchase, buy",,[sound:購買.wav]
"purchase, buy",,購買,(こうばい),[sound:購買.wav]
好評,(こうひょう),"popularity, favorable reputation",,[sound:好評.wav]
"popularity, favorable reputation",,好評,(こうひょう),[sound:好評.wav]
交付,(こうふ),"delivering, furnishing (with copies)",,[sound:交付.wav]
"delivering, furnishing (with copies)",,交付,(こうふ),[sound:交付.wav]
降伏,(こうふく),"capitulation, surrender, submission",,[sound:降伏.wav]
"capitulation, surrender, submission",,降伏,(こうふく),[sound:降伏.wav]
興奮,(こうふん),"excitement, stimulation, agitation, arousal",,[sound:興奮.wav]
"excitement, stimulation, agitation, arousal",,興奮,(こうふん),[sound:興奮.wav]
公募,(こうぼ),"public appeal, public contribution",,[sound:公募.wav]
"public appeal, public contribution",,公募,(こうぼ),[sound:公募.wav]
巧妙,(こうみょう),"ingenious, skillful, clever, deft",,[sound:巧妙.wav]
"ingenious, skillful, clever, deft",,巧妙,(こうみょう),[sound:巧妙.wav]
公用,(こうよう),"government business, public use, public expense",,[sound:公用.wav]
"government business, public use, public expense",,公用,(こうよう),[sound:公用.wav]
小売,(こうり),retail,,[sound:小売.wav]
retail,,小売,(こうり),[sound:小売.wav]
効率,(こうりつ),efficiency,,[sound:効率.wav]
efficiency,,効率,(こうりつ),[sound:効率.wav]
公立,(こうりつ),public (institution),,[sound:公立.wav]
public (institution),,公立,(こうりつ),[sound:公立.wav]
小柄,(こがら),short (build),,[sound:小柄.wav]
short (build),,小柄,(こがら),[sound:小柄.wav]
小切手,(こぎって),"cheque, check",,[sound:小切手.wav]
"cheque, check",,小切手,(こぎって),[sound:小切手.wav]
国産,(こくさん),domestic products,,[sound:国産.wav]
domestic products,,国産,(こくさん),[sound:国産.wav]
国定,(こくてい),"state-sponsored, national",,[sound:国定.wav]
"state-sponsored, national",,国定,(こくてい),[sound:国定.wav]
国土,(こくど),realm,,[sound:国土.wav]
realm,,国土,(こくど),[sound:国土.wav]
告白,(こくはく),"confession, acknowledgement",,[sound:告白.wav]
"confession, acknowledgement",,告白,(こくはく),[sound:告白.wav]
国防,(こくぼう),national defence,,[sound:国防.wav]
national defence,,国防,(こくぼう),[sound:国防.wav]
国有,(こくゆう),national ownership,,[sound:国有.wav]
national ownership,,国有,(こくゆう),[sound:国有.wav]
国連,(こくれん),"U.N., United Nations",,[sound:国連.wav]
"U.N., United Nations",,国連,(こくれん),[sound:国連.wav]
漕ぐ,(こぐ),"to row, to scull, to pedal",,[sound:漕ぐ.wav]
"to row, to scull, to pedal",,漕ぐ,(こぐ),[sound:漕ぐ.wav]
焦げ茶,(こげちゃ),black tea,,[sound:焦げ茶.wav]
black tea,,焦げ茶,(こげちゃ),[sound:焦げ茶.wav]
個々,(ここ),"individual, one by one",,[sound:個々.wav]
"individual, one by one",,個々,(ここ),[sound:個々.wav]
箇箇,(ここ),"individual, separate",,[sound:箇箇.wav]
"individual, separate",,箇箇,(ここ),[sound:箇箇.wav]
心地,(ここち),"feeling, sensation, mood",,[sound:心地.wav]
"feeling, sensation, mood",,心地,(ここち),[sound:心地.wav]
心得,(こころえ),"knowledge, information",,[sound:心得.wav]
"knowledge, information",,心得,(こころえ),[sound:心得.wav]
心掛け,(こころがけ),"readiness, intention, aim",,[sound:心掛け.wav]
"readiness, intention, aim",,心掛け,(こころがけ),[sound:心掛け.wav]
心掛ける,(こころがける),"to bear in mind, to aim to do",,[sound:心掛ける.wav]
"to bear in mind, to aim to do",,心掛ける,(こころがける),[sound:心掛ける.wav]
志,(こころざし),"will, intention, motive",,[sound:志.wav]
"will, intention, motive",,志,(こころざし),[sound:志.wav]
志す,(こころざす),"to plan, to intend, to aspire to, to set aims (sights on)",,[sound:志す.wav]
"to plan, to intend, to aspire to, to set aims (sights on)",,志す,(こころざす),[sound:志す.wav]
心強い,(こころづよい),"heartening, reassuring",,[sound:心強い.wav]
"heartening, reassuring",,心強い,(こころづよい),[sound:心強い.wav]
心細い,(こころぼそい),"helpless, forlorn, hopeless, unpromising, lonely, discouraging, disheartening",,[sound:心細い.wav]
"helpless, forlorn, hopeless, unpromising, lonely, discouraging, disheartening",,心細い,(こころぼそい),[sound:心細い.wav]
試み,(こころみ),"trial, experiment",,[sound:試み.wav]
"trial, experiment",,試み,(こころみ),[sound:試み.wav]
試みる,(こころみる),"to try, to test",,[sound:試みる.wav]
"to try, to test",,試みる,(こころみる),[sound:試みる.wav]
快い,(こころよい),"pleasant, agreeable",,[sound:快い.wav]
"pleasant, agreeable",,快い,(こころよい),[sound:快い.wav]
凝らす,(こごらす),"to freeze, to congeal",,[sound:凝らす.wav]
"to freeze, to congeal",,凝らす,(こごらす),[sound:凝らす.wav]
凝る,(こごる),"to congeal, to freeze",,[sound:凝る.wav]
"to congeal, to freeze",,凝る,(こごる),[sound:凝る.wav]
拵える,(こしらえる),"to make, to manufacture",,[sound:拵える.wav]
"to make, to manufacture",,拵える,(こしらえる),[sound:拵える.wav]
孤児,(こじ),orphan,,[sound:孤児.wav]
orphan,,孤児,(こじ),[sound:孤児.wav]
拗れる,(こじれる),"to get complicated, to grow worse",,[sound:拗れる.wav]
"to get complicated, to grow worse",,拗れる,(こじれる),[sound:拗れる.wav]
故人,(こじん),"the deceased, old friend",,[sound:故人.wav]
"the deceased, old friend",,故人,(こじん),[sound:故人.wav]
梢,(こずえ),treetop,,[sound:梢.wav]
treetop,,梢,(こずえ),[sound:梢.wav]
個性,(こせい),"individuality, personality, idiosyncrasy",,[sound:個性.wav]
"individuality, personality, idiosyncrasy",,個性,(こせい),[sound:個性.wav]
戸籍,(こせき),"census, family register",,[sound:戸籍.wav]
"census, family register",,戸籍,(こせき),[sound:戸籍.wav]
小銭,(こぜに),"coins, small change",,[sound:小銭.wav]
"coins, small change",,小銭,(こぜに),[sound:小銭.wav]
固体,(こたい),solid (body),,[sound:固体.wav]
solid (body),,固体,(こたい),[sound:固体.wav]
答え,(こたえ),"answer, response",,[sound:答え.wav]
"answer, response",,答え,(こたえ),[sound:答え.wav]
堪える,(こたえる),"to bear, to stand, to endure, to put up with, to support, to withstand, to resist, to brave, to be fit for, t",,[sound:堪える.wav]
"to bear, to stand, to endure, to put up with, to support, to withstand, to resist, to brave, to be fit for, t",,堪える,(こたえる),[sound:堪える.wav]
火燵,(こたつ),"table with heater, (orig) charcoal brazier in a floor well",,[sound:火燵.wav]
"table with heater, (orig) charcoal brazier in a floor well",,火燵,(こたつ),[sound:火燵.wav]
古代,(こだい),ancient times,,[sound:古代.wav]
ancient times,,古代,(こだい),[sound:古代.wav]
拘る,(こだわる),"to fuss over, to be particular about, to be concerned about",,[sound:拘る.wav]
"to fuss over, to be particular about, to be concerned about",,拘る,(こだわる),[sound:拘る.wav]
誇張,(こちょう),exaggeration,,[sound:誇張.wav]
exaggeration,,誇張,(こちょう),[sound:誇張.wav]
滑稽,(こっけい),"funny, humorous, comical, laughable, ridiculous, joking",,[sound:滑稽.wav]
"funny, humorous, comical, laughable, ridiculous, joking",,滑稽,(こっけい),[sound:滑稽.wav]
国交,(こっこう),diplomatic relations,,[sound:国交.wav]
diplomatic relations,,国交,(こっこう),[sound:国交.wav]
骨董品,(こっとうひん),curio,,[sound:骨董品.wav]
curio,,骨董品,(こっとうひん),[sound:骨董品.wav]
骨,(こつ),"knack, skill",,[sound:骨.wav]
"knack, skill",,骨,(こつ),[sound:骨.wav]
固定,(こてい),fixation,,[sound:固定.wav]
fixation,,固定,(こてい),[sound:固定.wav]
事柄,(ことがら),"matter, thing, affair, circumstance",,[sound:事柄.wav]
"matter, thing, affair, circumstance",,事柄,(ことがら),[sound:事柄.wav]
悉く,(ことごとく),"altogether, entirely",,[sound:悉く.wav]
"altogether, entirely",,悉く,(ことごとく),[sound:悉く.wav]
言伝,(ことづて),"declaration, hearsay",,[sound:言伝.wav]
"declaration, hearsay",,言伝,(ことづて),[sound:言伝.wav]
殊に,(ことに),"especially, above all",,[sound:殊に.wav]
"especially, above all",,殊に,(ことに),[sound:殊に.wav]
事によると,(ことによると),depending on the circumstances,,[sound:事によると.wav]
depending on the circumstances,,事によると,(ことによると),[sound:事によると.wav]
孤独,(こどく),"isolation, loneliness, solitude",,[sound:孤独.wav]
"isolation, loneliness, solitude",,孤独,(こどく),[sound:孤独.wav]
粉々,(こなごな),in very small pieces,,[sound:粉々.wav]
in very small pieces,,粉々,(こなごな),[sound:粉々.wav]
この間,(このあいだ),"the other day, lately, recently",,[sound:この間.wav]
"the other day, lately, recently",,この間,(このあいだ),[sound:この間.wav]
この頃,(このごろ),recently,,[sound:この頃.wav]
recently,,この頃,(このごろ),[sound:この頃.wav]
好ましい,(このましい),"nice, likeable, desirable",,[sound:好ましい.wav]
"nice, likeable, desirable",,好ましい,(このましい),[sound:好ましい.wav]
個別,(こべつ),particular case,,[sound:個別.wav]
particular case,,個別,(こべつ),[sound:個別.wav]
零す,(こぼす),to spill,,[sound:零す.wav]
to spill,,零す,(こぼす),[sound:零す.wav]
細やか,(こまやか),friendly,,[sound:細やか.wav]
friendly,,細やか,(こまやか),[sound:細やか.wav]
混む,(こむ),to be crowded,,[sound:混む.wav]
to be crowded,,混む,(こむ),[sound:混む.wav]
込める,(こめる),"to include, to put into",,[sound:込める.wav]
"to include, to put into",,込める,(こめる),[sound:込める.wav]
篭る,(こもる),"to seclude oneself, to be confined in, to be implied, to be stuffy",,[sound:篭る.wav]
"to seclude oneself, to be confined in, to be implied, to be stuffy",,篭る,(こもる),[sound:篭る.wav]
固有,(こゆう),"characteristic, tradition, peculiar, inherent, eigen-",,[sound:固有.wav]
"characteristic, tradition, peculiar, inherent, eigen-",,固有,(こゆう),[sound:固有.wav]
雇用,(こよう),"employment (long term), hire",,[sound:雇用.wav]
"employment (long term), hire",,雇用,(こよう),[sound:雇用.wav]
暦,(こよみ),"calendar, almanac",,[sound:暦.wav]
"calendar, almanac",,暦,(こよみ),[sound:暦.wav]
堪える,(こらえる),"to bear, to stand, to endure, to put up with, to support, to withstand, to resist, to brave, to be fit for, t",,[sound:堪える.wav]
"to bear, to stand, to endure, to put up with, to support, to withstand, to resist, to brave, to be fit for, t",,堪える,(こらえる),[sound:堪える.wav]
孤立,(こりつ),"isolation, helplessness",,[sound:孤立.wav]
"isolation, helplessness",,孤立,(こりつ),[sound:孤立.wav]
懲りる,(こりる),"to learn by experience, to be disgusted with",,[sound:懲りる.wav]
"to learn by experience, to be disgusted with",,懲りる,(こりる),[sound:懲りる.wav]
此れ,(これ),this,,[sound:此れ.wav]
this,,此れ,(これ),[sound:此れ.wav]
此れ等,(これら),these,,[sound:此れ等.wav]
these,,此れ等,(これら),[sound:此れ等.wav]
魂,(こん),"soul, spirit",,[sound:魂.wav]
"soul, spirit",,魂,(こん),[sound:魂.wav]
根気,(こんき),"patience, perseverance, energy",,[sound:根気.wav]
"patience, perseverance, energy",,根気,(こんき),[sound:根気.wav]
根拠,(こんきょ),"basis, foundation",,[sound:根拠.wav]
"basis, foundation",,根拠,(こんきょ),[sound:根拠.wav]
混血,(こんけつ),"mixed race, mixed parentage",,[sound:混血.wav]
"mixed race, mixed parentage",,混血,(こんけつ),[sound:混血.wav]
昆虫,(こんちゅう),"insect, bug",,[sound:昆虫.wav]
"insect, bug",,昆虫,(こんちゅう),[sound:昆虫.wav]
根底,(こんてい),"root, basis, foundation",,[sound:根底.wav]
"root, basis, foundation",,根底,(こんてい),[sound:根底.wav]
混同,(こんどう),"confusion, mixing, merger",,[sound:混同.wav]
"confusion, mixing, merger",,混同,(こんどう),[sound:混同.wav]
今日は,(こんにちは),"hello, good day (daytime greeting id)",,[sound:今日は.wav]
"hello, good day (daytime greeting id)",,今日は,(こんにちは),[sound:今日は.wav]
今晩は,(こんばんは),good evening,,[sound:今晩は.wav]
good evening,,今晩は,(こんばんは),[sound:今晩は.wav]
根本,(こんぽん),"origin, source, foundation, root, base, principle",,[sound:根本.wav]
"origin, source, foundation, root, base, principle",,根本,(こんぽん),[sound:根本.wav]
御,(ご),"go-, honourable",,[sound:御.wav]
"go-, honourable",,御,(ご),[sound:御.wav]
語彙,(ごい),"vocabulary, glossary",,[sound:語彙.wav]
"vocabulary, glossary",,語彙,(ごい),[sound:語彙.wav]
濠,(ごう),moat,,[sound:濠.wav]
moat,,濠,(ごう),[sound:濠.wav]
業,(ごう),"Buddhist karma, actions committed in a former life",,[sound:業.wav]
"Buddhist karma, actions committed in a former life",,業,(ごう),[sound:業.wav]
号,(ごう),"number, issue",,[sound:号.wav]
"number, issue",,号,(ごう),[sound:号.wav]
合意,(ごうい),"agreement, consent, mutual understanding",,[sound:合意.wav]
"agreement, consent, mutual understanding",,合意,(ごうい),[sound:合意.wav]
合議,(ごうぎ),"consultation, conference",,[sound:合議.wav]
"consultation, conference",,合議,(ごうぎ),[sound:合議.wav]
強気,(ごうぎ),"great, grand",,[sound:強気.wav]
"great, grand",,強気,(ごうぎ),[sound:強気.wav]
合成,(ごうせい),"synthesis, composition, synthetic, composite, mixed, combined, compound",,[sound:合成.wav]
"synthesis, composition, synthetic, composite, mixed, combined, compound",,合成,(ごうせい),[sound:合成.wav]
護衛,(ごえい),"guard, convoy, escort",,[sound:護衛.wav]
"guard, convoy, escort",,護衛,(ごえい),[sound:護衛.wav]
語句,(ごく),"words, phrases",,[sound:語句.wav]
"words, phrases",,語句,(ごく),[sound:語句.wav]
極楽,(ごくらく),paradise,,[sound:極楽.wav]
paradise,,極楽,(ごくらく),[sound:極楽.wav]
ご苦労様,(ごくろうさま),Thank you very much for your....,,[sound:ご苦労様.wav]
Thank you very much for your....,,ご苦労様,(ごくろうさま),[sound:ご苦労様.wav]
語源,(ごげん),"word root, word derivation, etymology",,[sound:語源.wav]
"word root, word derivation, etymology",,語源,(ごげん),[sound:語源.wav]
誤差,(ごさ),error,,[sound:誤差.wav]
error,,誤差,(ごさ),[sound:誤差.wav]
ご座います,(ございます),"to be (polite), to exist",,[sound:ご座います.wav]
"to be (polite), to exist",,ご座います,(ございます),[sound:ご座います.wav]
ご馳走,(ごちそう),"feast, treating (someone)",,[sound:ご馳走.wav]
"feast, treating (someone)",,ご馳走,(ごちそう),[sound:ご馳走.wav]
ご馳走さま,(ごちそうさま),feast,,[sound:ご馳走さま.wav]
feast,,ご馳走さま,(ごちそうさま),[sound:ご馳走さま.wav]
毎,(ごと),each respectively,,[sound:毎.wav]
each respectively,,毎,(ごと),[sound:毎.wav]
碁盤,(ごばん),Go board,,[sound:碁盤.wav]
Go board,,碁盤,(ごばん),[sound:碁盤.wav]
ご無沙汰,(ごぶさた),not writing or contacting for a while,,[sound:ご無沙汰.wav]
not writing or contacting for a while,,ご無沙汰,(ごぶさた),[sound:ご無沙汰.wav]
誤魔化す,(ごまかす),"to deceive, to falsify, to misrepresent",,[sound:誤魔化す.wav]
"to deceive, to falsify, to misrepresent",,誤魔化す,(ごまかす),[sound:誤魔化す.wav]
御免ください,(ごめんください),May I come in?,,[sound:御免ください.wav]
May I come in?,,御免ください,(ごめんください),[sound:御免ください.wav]
御免なさい,(ごめんなさい),"I beg your pardon, excuse me",,[sound:御免なさい.wav]
"I beg your pardon, excuse me",,御免なさい,(ごめんなさい),[sound:御免なさい.wav]
御覧なさい,(ごらんなさい),"(please) look, (please) try to do",,[sound:御覧なさい.wav]
"(please) look, (please) try to do",,御覧なさい,(ごらんなさい),[sound:御覧なさい.wav]
佐,(さ),help,,[sound:佐.wav]
help,,佐,(さ),[sound:佐.wav]
再,(さい),"re-, again, repeated",,[sound:再.wav]
"re-, again, repeated",,再,(さい),[sound:再.wav]
差異,(さい),"difference, disparity",,[sound:差異.wav]
"difference, disparity",,差異,(さい),[sound:差異.wav]
歳,(さい),#NAME?,,[sound:歳.wav]
#NAME?,,歳,(さい),[sound:歳.wav]
再会,(さいかい),"another meeting, meeting again, reunion",,[sound:再会.wav]
"another meeting, meeting again, reunion",,再会,(さいかい),[sound:再会.wav]
災害,(さいがい),"calamity, disaster, misfortune",,[sound:災害.wav]
"calamity, disaster, misfortune",,災害,(さいがい),[sound:災害.wav]
細菌,(さいきん),"bacillus, bacterium, germ",,[sound:細菌.wav]
"bacillus, bacterium, germ",,細菌,(さいきん),[sound:細菌.wav]
