あ,,Ah,,[sound:あ.wav]
Ah,,あ,,[sound:あ.wav]
ああ,,like that,,[sound:ああ.wav]
like that,,ああ,,[sound:ああ.wav]
あいさつ,,to greet,,[sound:あいさつ.wav]
to greet,,あいさつ,,[sound:あいさつ.wav]
間,(あいだ),a space,,[sound:間.wav]
a space,,間,(あいだ),[sound:間.wav]
合う,(あう),to match,,[sound:合う.wav]
to match,,合う,(あう),[sound:合う.wav]
あかちゃん,,infant,,[sound:あかちゃん.wav]
infant,,あかちゃん,,[sound:あかちゃん.wav]
上る,(あがる),to rise,,[sound:上る.wav]
to rise,,上る,(あがる),[sound:上る.wav]
赤ん坊,(あかんぼう),baby,,[sound:赤ん坊.wav]
baby,,赤ん坊,(あかんぼう),[sound:赤ん坊.wav]
空く,(あく),"to open, to become empty",,[sound:空く.wav]
"to open, to become empty",,空く,(あく),[sound:空く.wav]
アクセサリー,,accessory,,[sound:アクセサリー.wav]
accessory,,アクセサリー,,[sound:アクセサリー.wav]
あげる,,to give,,[sound:あげる.wav]
to give,,あげる,,[sound:あげる.wav]
浅い,(あさい),"shallow,superficial",,[sound:浅い.wav]
"shallow,superficial",,浅い,(あさい),[sound:浅い.wav]
味,(あじ),flavour,,[sound:味.wav]
flavour,,味,(あじ),[sound:味.wav]
アジア,,Asia,,[sound:アジア.wav]
Asia,,アジア,,[sound:アジア.wav]
明日,(あす),tomorrow,,[sound:明日.wav]
tomorrow,,明日,(あす),[sound:明日.wav]
遊び,(あそび),play,,[sound:遊び.wav]
play,,遊び,(あそび),[sound:遊び.wav]
集る,(あつまる),to gather,,[sound:集る.wav]
to gather,,集る,(あつまる),[sound:集る.wav]
集める,(あつめる),to collect something,,[sound:集める.wav]
to collect something,,集める,(あつめる),[sound:集める.wav]
アナウンサー,,announcer,,[sound:アナウンサー.wav]
announcer,,アナウンサー,,[sound:アナウンサー.wav]
アフリカ,,Africa,,[sound:アフリカ.wav]
Africa,,アフリカ,,[sound:アフリカ.wav]
アメリカ,,America,,[sound:アメリカ.wav]
America,,アメリカ,,[sound:アメリカ.wav]
謝る,(あやまる),to apologize,,[sound:謝る.wav]
to apologize,,謝る,(あやまる),[sound:謝る.wav]
アルコール,,alcohol,,[sound:アルコール.wav]
alcohol,,アルコール,,[sound:アルコール.wav]
アルバイト,,part-time job,,[sound:アルバイト.wav]
part-time job,,アルバイト,,[sound:アルバイト.wav]
安心,(あんしん),relief,,[sound:安心.wav]
relief,,安心,(あんしん),[sound:安心.wav]
安全,(あんぜん),safety,,[sound:安全.wav]
safety,,安全,(あんぜん),[sound:安全.wav]
あんな,,such,,[sound:あんな.wav]
such,,あんな,,[sound:あんな.wav]
案内,(あんない),to guide,,[sound:案内.wav]
